G,Date,Team, ,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%, ,eFG%,TOV%_for,ORB%,FT/FGA_for, ,TOV%_against,DRB%,FT/FGA_against
1,2021-10-20,NYK,,BOS,W,138,134,110.0,106.8,103.9,.257,.429,.590,49.5,52.9,7.2,16.7,,.567,12.7,14.6,.181,,12.4,76.2,.145
2,2021-10-22,NYK,@,ORL,W,121,96,124.4,98.7,97.2,.193,.614,.634,45.2,77.3,10.3,10.0,,.636,10.3,14.0,.102,,16.7,78.0,.157
3,2021-10-24,NYK,,ORL,L,104,110,100.3,106.1,103.7,.250,.480,.468,47.7,54.1,7.7,17.8,,.435,9.8,25.4,.170,,11.2,78.3,.295
4,2021-10-26,NYK,,PHI,W,112,99,125.3,110.8,89.4,.172,.425,.598,52.9,58.5,7.8,12.2,,.563,11.4,31.7,.161,,13.5,72.7,.183
5,2021-10-28,NYK,@,CHI,W,104,103,111.1,110.0,93.6,.235,.341,.554,57.0,41.0,5.3,13.5,,.524,12.2,25.6,.176,,7.0,88.4,.238
6,2021-10-30,NYK,@,NOP,W,123,117,126.0,119.9,97.6,.309,.407,.668,46.3,52.4,7.2,6.8,,.636,11.5,13.9,.247,,9.7,72.7,.239
7,2021-11-01,NYK,,TOR,L,104,113,109.3,118.8,95.2,.316,.500,.601,46.1,57.1,3.2,7.0,,.566,15.6,16.7,.237,,7.1,72.3,.131
8,2021-11-03,NYK,@,IND,L,98,111,104.0,117.8,94.3,.310,.276,.496,48.4,63.9,7.4,12.0,,.443,9.2,26.4,.241,,10.2,76.2,.121
9,2021-11-05,NYK,@,MIL,W,113,98,116.3,100.9,97.1,.271,.417,.526,61.5,39.0,12.4,10.3,,.479,11.5,40.0,.219,,14.1,84.8,.195
10,2021-11-07,NYK,,CLE,L,109,126,113.1,130.7,96.4,.282,.365,.570,40.0,53.8,9.3,16.4,,.512,9.5,15.9,.259,,13.7,69.4,.100
11,2021-11-08,NYK,@,PHI,W,103,96,111.1,103.5,92.7,.143,.440,.532,53.9,62.5,4.3,7.8,,.511,11.8,28.6,.110,,7.5,77.4,.143
12,2021-11-10,NYK,,MIL,L,100,112,108.9,122.0,91.8,.205,.446,.553,43.2,52.8,9.8,25.0,,.530,10.0,15.9,.145,,13.0,70.5,.067
13,2021-11-12,NYK,@,CHO,L,96,104,95.7,103.6,100.3,.194,.376,.476,51.0,47.2,8.0,9.3,,.457,15.8,27.5,.118,,10.7,75.5,.178
14,2021-11-15,NYK,,IND,W,92,84,103.0,94.1,89.3,.116,.395,.509,51.1,59.5,1.1,10.2,,.494,10.0,18.6,.081,,7.0,80.9,.140
15,2021-11-17,NYK,,ORL,L,98,104,100.2,106.3,97.9,.136,.557,.525,46.9,67.6,5.1,12.1,,.511,16.2,22.9,.091,,10.4,70.8,.156
16,2021-11-20,NYK,,HOU,W,106,99,108.0,100.8,98.2,.333,.526,.593,43.5,75.8,12.2,15.6,,.538,11.8,10.3,.282,,19.0,71.7,.155
17,2021-11-21,NYK,@,CHI,L,103,109,108.8,115.2,94.6,.369,.321,.527,50.0,45.7,4.2,18.6,,.458,11.7,26.7,.310,,8.3,74.4,.273
18,2021-11-23,NYK,,LAL,W,106,100,107.0,101.0,99.0,.256,.415,.581,51.0,62.2,7.1,7.3,,.543,13.3,15.9,.207,,10.3,77.6,.231
19,2021-11-26,NYK,,PHO,L,97,118,100.8,122.6,96.2,.239,.424,.477,59.3,38.2,7.3,2.0,,.435,12.9,33.3,.185,,11.1,97.1,.215
20,2021-11-27,NYK,@,ATL,W,99,90,107.5,97.7,92.1,.268,.354,.540,49.0,55.6,4.3,5.4,,.506,9.8,17.0,.195,,5.6,76.4,.161
