G,Date,Team, ,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%, ,eFG%,TOV%_for,ORB%,FT/FGA_for, ,TOV%_against,DRB%,FT/FGA_against
35,2018-12-30,DAL,,OKC,W,105,103,101.7,99.8,103.2,.272,.481,.579,55.7,56.8,7.8,5.5,,.543,20.2,22.0,.210,,9.7,85.1,.151
36,2018-12-31,DAL,@,OKC,L,102,122,91.6,109.6,111.3,.459,.514,.573,51.6,67.7,6.3,3.8,,.514,22.6,12.5,.351,,7.8,80.0,.233
37,2019-01-02,DAL,@,CHO,W,122,84,124.2,85.5,98.2,.189,.474,.593,55.3,70.5,9.2,6.9,,.558,8.9,26.1,.168,,12.5,78.9,.156
38,2019-01-04,DAL,@,BOS,L,93,114,96.0,117.7,96.9,.216,.500,.483,48.0,47.1,9.3,3.9,,.449,12.7,22.0,.159,,10.6,73.1,.094
39,2019-01-05,DAL,@,PHI,L,100,106,99.5,105.5,100.5,.261,.352,.510,50.0,71.1,4.0,5.3,,.483,13.3,18.0,.170,,9.3,83.3,.265
40,2019-01-07,DAL,,LAL,L,97,107,95.7,105.6,101.4,.279,.349,.502,54.2,33.3,9.9,10.8,,.465,15.7,29.8,.198,,10.9,77.6,.181
41,2019-01-09,DAL,,PHO,W,104,94,105.8,95.6,98.3,.643,.486,.579,53.2,70.0,7.1,8.5,,.514,17.5,21.1,.457,,13.9,82.9,.179
42,2019-01-11,DAL,@,MIN,W,119,115,118.9,114.9,100.1,.247,.392,.553,44.8,56.8,7.0,9.0,,.521,6.1,23.4,.186,,10.8,65.3,.108
43,2019-01-13,DAL,,GSW,L,114,119,120.3,125.6,94.8,.319,.418,.549,51.0,55.3,5.3,7.4,,.505,10.4,35.3,.242,,8.8,67.3,.101
44,2019-01-16,DAL,,SAS,L,101,105,117.5,122.2,86.0,.186,.488,.543,53.8,59.5,7.0,5.7,,.517,12.3,34.2,.140,,9.3,72.5,.120
45,2019-01-19,DAL,@,IND,L,99,111,106.3,119.1,93.2,.227,.420,.511,49.4,56.8,5.4,6.6,,.472,11.8,29.2,.182,,10.3,73.2,.224
46,2019-01-21,DAL,@,MIL,L,106,116,101.6,111.2,104.3,.172,.404,.498,48.5,58.5,6.7,18.6,,.485,9.4,20.4,.101,,12.2,82.2,.220
47,2019-01-22,DAL,,LAC,W,106,98,114.4,105.8,92.7,.358,.420,.565,53.9,55.3,5.4,10.9,,.531,10.5,25.0,.247,,6.3,73.6,.242
48,2019-01-25,DAL,,DET,W,106,101,115.1,109.7,92.1,.370,.444,.563,48.3,64.9,8.7,12.8,,.543,8.7,21.4,.222,,11.1,72.3,.224
49,2019-01-27,DAL,,TOR,L,120,123,119.4,122.4,100.5,.386,.409,.583,49.4,58.1,5.0,4.1,,.551,9.7,16.3,.261,,6.6,81.8,.386
50,2019-01-30,DAL,@,NYK,W,114,90,117.4,92.7,97.1,.131,.452,.642,59.0,68.9,4.1,1.9,,.625,16.8,19.4,.107,,11.7,89.4,.256
51,2019-01-31,DAL,@,DET,L,89,93,99.3,103.7,89.7,.159,.284,.473,45.8,50.0,2.2,9.4,,.449,9.6,22.9,.114,,10.3,68.8,.209
52,2019-02-02,DAL,@,CLE,W,111,98,118.6,104.7,93.6,.226,.464,.601,53.2,50.0,2.1,6.5,,.571,12.3,21.4,.179,,5.7,78.8,.306
53,2019-02-06,DAL,,CHO,W,99,93,100.1,94.0,98.9,.181,.383,.488,54.8,65.8,8.1,9.6,,.463,11.4,27.8,.128,,12.7,84.0,.135
54,2019-02-08,DAL,,MIL,L,107,122,108.5,123.8,98.6,.230,.609,.558,42.0,63.9,6.1,8.8,,.540,12.8,18.0,.149,,10.9,73.7,.108
55,2019-02-10,DAL,,POR,W,102,101,104.7,103.6,97.5,.264,.425,.525,44.8,55.6,6.2,5.3,,.483,13.4,23.4,.207,,17.1,70.0,.093
56,2019-02-11,DAL,@,HOU,L,104,120,108.8,125.6,95.6,.370,.493,.613,46.5,60.0,5.2,3.3,,.568,17.5,9.4,.288,,8.5,76.9,.144
57,2019-02-13,DAL,,MIA,L,101,112,103.7,115.0,97.4,.250,.591,.517,44.7,70.6,10.3,0.0,,.472,10.9,20.0,.205,,17.0,80.0,.148
58,2019-02-22,DAL,,DEN,L,104,114,100.9,110.6,103.0,.393,.488,.528,40.0,55.9,6.8,3.0,,.464,13.2,14.3,.310,,10.2,62.5,.155
59,2019-02-23,DAL,@,UTA,L,109,125,112.1,128.6,97.2,.186,.371,.519,44.2,61.0,2.1,6.4,,.490,2.8,15.1,.144,,6.6,81.0,.341
60,2019-02-25,DAL,@,LAC,L,112,121,113.7,122.8,98.5,.355,.474,.637,52.9,75.7,3.0,16.4,,.579,16.2,18.4,.316,,4.4,80.9,.140
61,2019-02-27,DAL,,IND,W,110,101,117.4,107.8,93.7,.284,.457,.604,52.5,67.5,11.7,2.0,,.593,14.1,23.8,.173,,14.0,84.2,.221
62,2019-03-02,DAL,,MEM,L,81,111,84.4,115.6,96.0,.388,.471,.407,46.2,65.4,9.4,11.4,,.347,9.1,22.0,.259,,14.5,88.2,.244
63,2019-03-04,DAL,@,BRK,L,88,127,85.9,124.0,102.5,.253,.517,.455,42.9,64.5,3.9,6.8,,.425,11.9,10.0,.161,,12.2,91.2,.165
64,2019-03-06,DAL,@,WAS,L,123,132,126.8,136.1,97.0,.301,.441,.584,44.3,60.0,7.2,3.3,,.565,6.2,29.2,.194,,10.3,62.5,.215
65,2019-03-08,DAL,@,ORL,L,106,111,109.0,114.1,97.3,.180,.382,.552,46.7,52.4,6.2,5.2,,.528,12.7,21.3,.135,,12.9,74.4,.149
66,2019-03-10,DAL,,HOU,L,93,94,101.2,102.3,91.9,.360,.427,.535,55.4,77.4,6.5,25.0,,.473,15.6,26.3,.293,,10.9,75.9,.159
67,2019-03-12,DAL,,SAS,L,105,112,111.2,118.6,94.4,.317,.476,.562,50.0,57.9,1.1,3.3,,.549,13.0,22.5,.183,,11.8,80.6,.220
68,2019-03-14,DAL,@,DEN,L,99,100,109.6,110.7,90.3,.195,.425,.524,47.6,59.5,8.9,1.9,,.494,7.8,20.0,.149,,11.1,79.5,.173
69,2019-03-16,DAL,,CLE,W,121,116,133.2,127.7,90.9,.180,.382,.630,54.8,69.6,3.3,10.4,,.607,4.9,25.0,.146,,5.9,83.8,.244
70,2019-03-18,DAL,,NOP,L,125,129,109.2,112.7,103.6,.276,.333,.531,47.6,58.7,7.9,9.2,,.481,11.3,25.5,.229,,13.0,72.0,.183
71,2019-03-20,DAL,@,POR,L,118,126,116.9,124.8,100.9,.287,.345,.602,42.2,46.5,7.9,10.9,,.552,10.1,14.3,.253,,12.1,70.7,.220
72,2019-03-21,DAL,@,SAC,L,100,116,102.2,118.5,97.9,.250,.435,.490,42.6,63.9,5.1,11.5,,.457,6.4,16.4,.174,,10.8,73.9,.241
73,2019-03-23,DAL,@,GSW,W,126,91,132.3,95.5,95.2,.265,.590,.680,57.6,75.0,7.3,3.3,,.657,8.9,22.2,.205,,9.2,83.7,.167
74,2019-03-26,DAL,,SAC,L,121,125,130.2,134.5,92.9,.416,.584,.664,50.7,69.2,1.1,9.4,,.604,10.8,21.9,.364,,6.5,72.1,.310
75,2019-03-28,DAL,@,MIA,L,99,105,99.0,105.0,100.0,.185,.511,.498,47.6,72.2,4.0,3.4,,.478,11.6,18.2,.120,,9.0,80.0,.225
76,2019-03-31,DAL,@,OKC,W,106,103,108.7,105.7,97.5,.264,.506,.546,51.5,48.6,3.1,3.6,,.517,11.8,22.7,.184,,6.9,73.7,.163
77,2019-04-01,DAL,,PHI,W,122,102,117.2,98.0,104.1,.278,.330,.560,49.5,63.0,4.8,5.0,,.536,5.2,18.9,.186,,10.1,78.6,.258
78,2019-04-03,DAL,,MIN,L,108,110,110.0,112.0,98.2,.202,.415,.528,56.3,60.5,2.0,8.5,,.495,11.3,26.7,.160,,7.8,88.1,.186
79,2019-04-05,DAL,,MEM,L,112,122,113.3,123.4,98.8,.219,.490,.532,45.7,68.3,4.0,7.3,,.516,7.9,22.4,.135,,8.8,72.1,.146
80,2019-04-07,DAL,@,MEM,W,129,127,122.7,120.8,95.2,.347,.418,.571,49.0,68.9,3.8,9.3,,.520,5.0,20.4,.276,,6.0,80.0,.245
81,2019-04-09,DAL,,PHO,W,120,109,113.3,102.9,105.9,.297,.440,.583,62.7,68.3,5.7,11.3,,.538,17.0,35.3,.242,,12.2,90.2,.227
82,2019-04-10,DAL,@,SAS,L,94,105,98.5,110.0,95.4,.132,.407,.488,44.2,73.0,5.2,6.3,,.467,6.8,13.5,.099,,9.4,81.4,.170
