G,Date,Team, ,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%, ,eFG%,TOV%_for,ORB%,FT/FGA_for, ,TOV%_against,DRB%,FT/FGA_against
1,2020-12-23,UTA,@,POR,W,120,100,122.1,101.8,98.3,.202,.532,.586,59.6,55.8,3.1,5.1,,.559,9.7,26.1,.160,,5.7,88.7,.152
2,2020-12-26,UTA,,MIN,L,111,116,108.5,113.4,102.3,.394,.362,.503,58.8,41.7,4.9,5.6,,.436,14.0,40.4,.309,,7.6,76.0,.129
3,2020-12-28,UTA,@,OKC,W,110,109,110.9,109.9,99.2,.163,.419,.597,53.8,55.8,9.1,12.5,,.576,14.8,21.1,.128,,13.7,83.3,.163
4,2020-12-31,UTA,,PHO,L,95,106,99.7,111.2,95.3,.226,.405,.514,52.9,45.7,8.4,5.9,,.488,12.3,21.7,.155,,14.5,87.8,.083
5,2021-01-01,UTA,,LAC,W,106,100,117.7,111.0,90.1,.157,.472,.557,51.7,68.3,3.3,5.8,,.545,12.0,29.5,.101,,7.7,73.3,.247
6,2021-01-03,UTA,@,SAS,W,130,109,122.9,103.0,105.8,.213,.461,.668,55.9,59.2,3.8,12.8,,.669,16.3,22.5,.124,,5.8,77.4,.143
7,2021-01-05,UTA,@,BRK,L,96,130,93.8,127.1,102.3,.314,.395,.490,44.6,51.5,5.9,5.3,,.448,13.3,17.3,.221,,10.7,80.0,.129
8,2021-01-06,UTA,@,NYK,L,100,112,103.7,116.1,96.4,.121,.484,.522,46.7,50.0,5.2,13.8,,.516,12.7,21.3,.066,,11.2,74.4,.161
9,2021-01-08,UTA,@,MIL,W,131,118,125.5,113.0,104.4,.134,.546,.638,52.6,63.3,5.7,14.3,,.634,8.9,21.7,.082,,10.1,81.6,.173
10,2021-01-10,UTA,@,DET,W,96,86,109.0,97.6,88.1,.268,.427,.524,61.8,48.6,3.4,11.1,,.494,12.4,36.4,.183,,6.8,81.0,.207
11,2021-01-12,UTA,@,CLE,W,117,87,125.5,93.3,93.2,.143,.536,.655,54.5,61.9,8.6,13.6,,.643,15.2,26.3,.107,,11.1,76.0,.100
12,2021-01-15,UTA,,ATL,W,116,92,112.5,89.2,103.1,.152,.478,.591,56.4,62.8,6.8,9.4,,.576,16.2,26.7,.109,,13.2,83.7,.120
