G,Date,Team, ,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%, ,eFG%,TOV%_for,ORB%,FT/FGA_for, ,TOV%_against,DRB%,FT/FGA_against
35,2018-12-23,BRK,,PHO,W,111,103,112.9,104.7,98.3,.388,.318,.558,54.4,62.5,7.1,5.6,,.529,14.6,31.1,.247,,11.1,77.8,.157
36,2018-12-26,BRK,,CHO,W,134,132,113.9,112.2,97.3,.173,.452,.599,51.8,60.8,6.8,9.3,,.582,13.2,19.6,.125,,9.8,79.7,.217
37,2018-12-28,BRK,@,CHO,L,87,100,90.8,104.3,95.8,.241,.325,.474,49.5,45.5,4.2,14.9,,.422,13.2,19.6,.205,,7.1,76.5,.070
38,2018-12-29,BRK,@,MIL,L,115,129,111.0,124.5,103.6,.443,.443,.609,50.6,73.7,5.8,6.7,,.576,12.9,12.8,.304,,8.8,87.5,.146
39,2019-01-02,BRK,,NOP,W,126,121,128.1,123.0,98.4,.226,.333,.616,51.2,57.4,7.1,7.8,,.591,8.9,27.9,.172,,10.8,75.6,.218
40,2019-01-04,BRK,@,MEM,W,109,100,107.7,98.8,101.2,.329,.430,.603,52.9,69.4,5.9,2.9,,.538,18.1,20.0,.304,,11.5,82.2,.118
41,2019-01-06,BRK,@,CHI,W,117,100,125.0,106.8,93.6,.265,.554,.631,46.3,69.0,6.4,4.3,,.602,8.9,15.4,.205,,11.3,74.4,.125
42,2019-01-07,BRK,@,BOS,L,95,116,92.7,113.1,102.5,.278,.532,.536,52.2,59.4,4.9,6.6,,.475,20.6,19.6,.253,,11.7,86.4,.108
43,2019-01-09,BRK,,ATL,W,116,100,110.7,95.4,104.8,.274,.316,.545,50.9,48.8,9.5,14.1,,.505,14.5,34.6,.211,,14.7,66.7,.222
44,2019-01-11,BRK,@,TOR,L,105,122,96.6,112.3,108.6,.341,.341,.519,49.5,54.1,3.7,5.7,,.483,14.4,17.6,.227,,7.2,77.6,.143
45,2019-01-14,BRK,,BOS,W,109,102,110.9,103.8,98.3,.291,.442,.562,57.3,48.6,5.1,12.7,,.506,14.9,29.5,.256,,9.0,80.8,.187
46,2019-01-16,BRK,@,HOU,W,145,142,127.7,125.1,102.8,.204,.333,.616,54.8,51.8,3.5,8.6,,.593,9.9,30.2,.157,,6.3,80.4,.276
47,2019-01-18,BRK,@,ORL,W,117,115,116.0,114.0,100.9,.155,.474,.565,45.6,54.5,5.0,7.4,,.552,9.6,19.6,.103,,11.5,72.7,.117
48,2019-01-21,BRK,,SAC,W,123,94,122.1,93.3,100.7,.267,.389,.612,60.2,55.6,8.9,5.9,,.572,13.7,30.8,.222,,12.5,81.5,.065
49,2019-01-23,BRK,,ORL,W,114,110,113.6,109.6,100.4,.256,.356,.569,51.7,46.5,7.0,3.6,,.533,13.8,27.9,.200,,11.4,75.0,.258
50,2019-01-25,BRK,,NYK,W,109,99,109.5,99.4,99.6,.560,.393,.521,64.5,55.9,5.0,3.6,,.458,15.4,40.0,.381,,7.5,87.5,.195
51,2019-01-28,BRK,@,BOS,L,104,112,100.6,108.4,103.4,.155,.330,.473,48.0,51.3,9.7,8.3,,.442,13.4,30.8,.126,,14.0,66.7,.090
52,2019-01-29,BRK,,CHI,W,122,117,109.4,104.9,111.5,.426,.372,.547,46.2,59.5,9.9,3.0,,.500,6.7,13.5,.298,,14.2,87.8,.149
53,2019-01-31,BRK,@,SAS,L,114,117,106.7,109.5,106.9,.326,.382,.560,47.9,71.4,4.7,10.4,,.534,12.1,11.9,.213,,7.4,75.9,.250
54,2019-02-02,BRK,@,ORL,L,89,102,84.7,97.1,105.1,.176,.418,.454,50.5,69.7,5.7,3.0,,.418,15.5,16.0,.143,,12.4,85.7,.106
55,2019-02-04,BRK,,MIL,L,94,113,89.7,107.8,104.8,.275,.412,.411,48.7,69.7,4.8,14.5,,.348,10.2,26.7,.225,,7.4,72.7,.168
56,2019-02-06,BRK,,DEN,W,135,130,124.2,119.6,108.7,.367,.378,.646,45.5,78.3,8.3,7.8,,.617,11.1,12.2,.267,,10.7,74.5,.172
57,2019-02-08,BRK,,CHI,L,106,125,103.4,121.9,102.6,.170,.436,.525,39.8,66.7,8.8,1.8,,.484,9.8,12.5,.160,,14.3,77.1,.224
58,2019-02-11,BRK,@,TOR,L,125,127,119.4,121.3,104.7,.205,.466,.652,43.7,71.7,5.7,4.9,,.636,12.7,12.5,.148,,11.4,83.9,.196
