G,Date,Team, ,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%, ,eFG%,TOV%_for,ORB%,FT/FGA_for, ,TOV%_against,DRB%,FT/FGA_against
1,2017-10-18,MEM,,NOP,W,103,91,110.4,97.6,93.3,.304,.315,.494,46.9,48.7,9.6,14.8,,.473,9.5,30.0,.174,,15.6,65.2,.304
2,2017-10-21,MEM,,GSW,W,111,101,112.8,102.7,98.4,.481,.351,.595,46.5,55.6,8.1,8.7,,.532,13.0,15.0,.377,,15.1,73.9,.274
3,2017-10-23,MEM,@,HOU,W,98,90,106.9,98.2,91.7,.544,.279,.581,49.4,55.2,5.5,5.1,,.471,12.5,9.1,.500,,15.5,79.5,.221
4,2017-10-25,MEM,@,DAL,L,94,103,102.4,112.2,91.8,.333,.431,.569,50.7,42.4,7.6,4.2,,.542,17.1,16.2,.222,,11.3,88.2,.270
5,2017-10-26,MEM,,DAL,W,96,91,102.2,96.9,93.9,.411,.466,.557,46.5,60.0,7.5,10.0,,.479,17.3,20.5,.356,,12.0,67.3,.181
6,2017-10-28,MEM,,HOU,W,103,89,111.5,96.3,92.4,.141,.388,.570,49.4,65.0,10.8,15.4,,.553,9.1,14.6,.106,,16.5,81.8,.221
7,2017-10-30,MEM,,CHO,L,99,104,98.8,103.8,100.2,.355,.376,.460,46.2,53.1,7.0,11.1,,.387,6.1,19.3,.290,,9.8,78.7,.258
8,2017-11-01,MEM,,ORL,L,99,101,102.9,105.0,96.2,.195,.366,.556,44.9,53.8,12.5,6.5,,.537,12.7,13.5,.134,,22.8,81.3,.160
9,2017-11-04,MEM,@,LAC,W,113,104,121.8,112.1,92.7,.286,.369,.598,47.6,52.5,8.6,12.3,,.554,10.4,24.3,.238,,11.9,66.7,.289
10,2017-11-05,MEM,@,LAL,L,102,107,102.7,107.8,99.3,.161,.425,.547,45.9,57.5,6.0,12.1,,.523,11.4,13.6,.126,,14.4,80.5,.212
11,2017-11-07,MEM,@,POR,W,98,97,106.4,105.3,92.1,.342,.260,.583,44.7,51.4,8.7,16.1,,.527,14.3,13.5,.288,,15.1,74.4,.235
12,2017-11-11,MEM,@,HOU,L,96,111,97.3,112.5,98.7,.228,.253,.552,47.1,60.5,9.1,13.2,,.519,17.9,12.5,.177,,13.6,76.6,.253
13,2017-11-13,MEM,@,MIL,L,103,110,115.7,123.6,89.0,.276,.342,.604,50.7,56.8,5.6,1.7,,.559,14.1,23.5,.237,,8.8,74.4,.220
14,2017-11-15,MEM,,IND,L,113,116,115.3,118.4,98.0,.256,.372,.591,54.4,65.9,5.1,16.4,,.558,12.8,26.2,.198,,11.3,86.5,.212
15,2017-11-18,MEM,,HOU,L,83,105,91.8,116.1,90.4,.221,.314,.440,51.6,58.1,6.6,20.0,,.401,11.3,29.4,.163,,15.5,78.6,.218
16,2017-11-20,MEM,,POR,L,92,100,96.6,105.0,95.2,.267,.349,.479,36.8,69.7,6.3,13.2,,.430,7.7,10.0,.209,,13.4,66.7,.337
17,2017-11-22,MEM,,DAL,L,94,95,95.0,96.0,98.9,.173,.358,.539,56.5,67.6,7.1,9.5,,.500,16.3,14.3,.160,,7.5,92.0,.088
18,2017-11-24,MEM,@,DEN,L,92,104,98.5,111.4,93.4,.219,.329,.575,31.5,77.8,10.7,6.4,,.555,18.4,7.9,.151,,18.8,57.1,.190
19,2017-11-26,MEM,,BRK,L,88,98,101.5,113.1,86.7,.225,.313,.500,44.9,46.9,9.2,6.7,,.450,13.7,26.2,.200,,16.8,66.7,.257
20,2017-11-29,MEM,@,SAS,L,95,104,109.4,119.8,86.8,.208,.286,.565,53.6,60.0,4.6,1.8,,.526,16.8,28.9,.182,,8.6,83.9,.267
