G,Date,Team, ,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%, ,eFG%,TOV%_for,ORB%,FT/FGA_for, ,TOV%_against,DRB%,FT/FGA_against
1,2016-10-25,NYK,@,CLE,L,88,117,88.1,117.1,99.9,.230,.310,.459,45.2,53.1,6.0,10.2,,.420,15.8,24.5,.172,,12.0,72.5,.149
2,2016-10-29,NYK,,MEM,W,111,104,115.1,107.9,96.4,.513,.276,.596,50.6,60.0,4.1,6.6,,.566,11.4,17.1,.329,,11.0,76.1,.244
3,2016-11-01,NYK,@,DET,L,89,102,93.9,107.7,94.7,.174,.256,.481,47.3,51.4,6.3,11.8,,.448,10.6,17.4,.140,,9.2,77.8,.135
4,2016-11-02,NYK,,HOU,L,99,118,98.8,117.7,100.2,.294,.235,.516,38.6,48.6,10.0,12.2,,.482,14.3,16.7,.200,,15.8,58.7,.213
5,2016-11-04,NYK,@,CHI,W,117,104,130.9,116.4,89.4,.236,.236,.595,48.8,69.6,7.8,3.3,,.567,4.8,28.9,.180,,11.1,65.9,.262
6,2016-11-06,NYK,,UTA,L,109,114,119.8,125.2,91.0,.229,.241,.597,53.4,42.9,8.8,10.0,,.554,11.6,27.0,.205,,10.0,80.6,.400
7,2016-11-09,NYK,,BRK,W,110,96,108.7,94.9,101.2,.185,.326,.553,55.6,56.8,10.9,10.9,,.533,12.3,21.4,.130,,16.5,85.4,.241
8,2016-11-11,NYK,@,BOS,L,87,115,85.8,113.4,101.4,.181,.245,.429,51.8,57.6,6.9,17.5,,.383,19.8,38.2,.160,,12.1,65.5,.378
9,2016-11-12,NYK,@,TOR,L,107,118,108.5,119.6,98.6,.165,.237,.514,52.7,43.2,3.0,3.3,,.490,13.3,34.0,.124,,9.9,74.4,.398
10,2016-11-14,NYK,,DAL,W,93,77,107.2,88.8,86.8,.231,.321,.541,56.0,52.9,5.8,8.8,,.494,16.5,32.6,.205,,11.0,77.1,.095
11,2016-11-16,NYK,,DET,W,105,102,116.6,113.3,90.0,.204,.269,.518,56.5,57.1,8.9,14.5,,.500,8.2,37.3,.129,,10.0,80.5,.118
12,2016-11-17,NYK,@,WAS,L,112,119,118.0,125.4,94.9,.233,.337,.591,49.3,56.1,9.5,1.8,,.547,12.1,25.0,.209,,14.4,78.8,.198
13,2016-11-20,NYK,,ATL,W,104,94,108.5,98.0,95.9,.159,.307,.552,51.0,50.0,8.3,1.6,,.534,13.7,24.4,.114,,11.7,73.6,.235
14,2016-11-22,NYK,,POR,W,107,103,107.5,103.5,99.5,.083,.302,.538,49.4,57.8,8.0,7.8,,.516,11.6,23.3,.083,,14.1,75.0,.244
15,2016-11-25,NYK,,CHO,W,113,111,107.6,105.7,95.1,.134,.289,.550,54.5,57.8,8.6,12.5,,.521,13.5,26.5,.124,,11.0,80.8,.183
16,2016-11-26,NYK,@,CHO,L,102,107,103.3,108.3,98.8,.202,.323,.473,47.5,70.3,9.1,10.3,,.434,6.9,20.8,.162,,9.2,78.3,.363
