G,Date,Team, ,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%, ,eFG%,TOV%_for,ORB%,FT/FGA_for, ,TOV%_against,DRB%,FT/FGA_against
35,2021-03-14,MEM,@,OKC,L,122,128,121.2,127.2,100.6,.315,.239,.582,41.0,57.4,12.9,7.1,,.549,6.3,22.4,.228,,21.4,72.4,.384
36,2021-03-15,MEM,@,PHO,L,99,122,101.7,125.3,97.4,.299,.264,.503,48.1,39.5,11.3,0.0,,.466,9.2,21.3,.207,,13.3,85.3,.193
37,2021-03-17,MEM,,MIA,W,89,85,93.1,88.9,95.6,.294,.494,.464,49.5,73.3,5.2,7.3,,.412,8.6,15.7,.224,,9.4,84.0,.146
38,2021-03-19,MEM,,GSW,L,103,116,100.6,113.3,102.4,.250,.310,.552,51.7,61.5,9.8,12.0,,.512,17.7,20.5,.202,,11.6,82.2,.143
39,2021-03-20,MEM,,GSW,W,111,103,105.6,98.0,105.2,.326,.337,.511,56.6,67.6,7.6,10.2,,.442,9.9,25.0,.284,,9.5,87.0,.311
40,2021-03-22,MEM,,BOS,W,132,126,123.4,117.8,96.9,.136,.318,.566,55.7,69.1,7.5,10.9,,.555,7.9,30.9,.091,,10.7,88.1,.167
41,2021-03-24,MEM,@,OKC,W,116,107,109.8,101.3,105.6,.131,.303,.554,56.0,40.4,11.4,16.7,,.530,14.0,28.6,.111,,12.0,82.4,.116
42,2021-03-26,MEM,@,UTA,L,114,117,118.4,121.5,96.3,.186,.309,.543,48.5,61.4,3.1,3.1,,.515,5.4,24.5,.144,,6.2,72.0,.153
43,2021-03-27,MEM,@,UTA,L,110,126,104.1,119.2,105.7,.309,.340,.499,47.5,61.5,15.1,4.3,,.448,11.3,29.1,.237,,17.2,70.5,.163
44,2021-03-29,MEM,@,HOU,W,120,110,116.3,106.6,103.2,.282,.365,.628,52.8,67.4,7.8,7.7,,.606,14.3,17.9,.200,,10.4,80.0,.202
45,2021-03-31,MEM,,UTA,L,107,111,108.2,112.2,98.9,.256,.200,.534,50.0,54.8,10.1,10.0,,.494,9.9,23.9,.200,,12.3,76.1,.213
46,2021-04-02,MEM,,MIN,W,120,108,121.2,109.1,99.0,.263,.411,.566,57.6,61.9,8.1,7.7,,.542,8.6,29.2,.179,,10.4,88.6,.235
47,2021-04-04,MEM,@,PHI,W,116,100,122.1,105.2,95.0,.169,.427,.607,49.5,68.2,6.3,18.2,,.584,11.2,22.7,.135,,9.0,70.9,.202
48,2021-04-06,MEM,@,MIA,W,124,112,131.1,118.4,94.6,.238,.488,.668,54.5,65.2,11.6,4.1,,.649,12.3,24.3,.179,,11.8,82.5,.134
49,2021-04-07,MEM,@,ATL,W,131,113,129.9,112.0,100.9,.236,.449,.667,56.3,62.5,5.0,6.8,,.635,12.5,26.2,.202,,6.1,79.6,.129
50,2021-04-09,MEM,@,NYK,L,129,133,118.1,121.8,98.9,.362,.319,.592,47.3,70.2,6.4,9.4,,.574,11.4,21.3,.223,,9.8,75.0,.302
51,2021-04-11,MEM,,IND,L,125,132,123.6,130.5,101.2,.165,.174,.507,48.5,50.9,10.9,9.7,,.487,4.6,38.7,.113,,10.1,63.4,.152
52,2021-04-12,MEM,,CHI,W,101,90,100.9,89.9,100.1,.165,.329,.554,56.0,67.5,7.0,12.7,,.524,18.0,23.8,.141,,15.4,83.7,.151
53,2021-04-14,MEM,,DAL,L,113,114,118.7,119.7,95.2,.233,.378,.569,50.0,64.3,7.4,6.3,,.539,6.6,22.9,.178,,10.3,81.0,.148
54,2021-04-16,MEM,@,CHI,W,126,115,131.0,119.6,96.2,.279,.465,.652,47.7,73.3,9.4,6.5,,.622,4.9,15.4,.221,,9.7,73.5,.125
55,2021-04-17,MEM,@,MIL,W,128,115,126.3,113.4,101.4,.129,.430,.651,48.9,60.8,9.9,6.8,,.629,9.2,17.9,.118,,13.5,73.5,.231
56,2021-04-19,MEM,@,DEN,L,137,139,113.3,114.9,100.1,.224,.374,.583,44.8,64.7,12.4,4.8,,.556,10.6,18.2,.168,,17.5,74.0,.216
57,2021-04-21,MEM,@,LAC,L,105,117,109.2,121.7,96.1,.274,.357,.558,49.4,50.0,6.2,14.0,,.530,12.1,25.0,.190,,10.7,75.6,.321
58,2021-04-23,MEM,@,POR,W,130,128,125.6,123.7,103.5,.224,.306,.604,43.8,63.5,6.8,8.2,,.577,6.9,18.2,.173,,9.3,68.9,.229
59,2021-04-25,MEM,@,POR,W,120,113,110.7,104.3,108.4,.308,.253,.581,50.5,52.4,8.3,10.4,,.527,12.7,17.4,.264,,8.7,75.4,.200
60,2021-04-26,MEM,@,DEN,L,96,120,92.4,115.5,103.9,.383,.395,.507,48.4,58.8,7.7,9.8,,.444,14.5,13.0,.296,,9.6,83.0,.202
61,2021-04-28,MEM,,POR,L,109,130,107.2,127.9,101.7,.341,.364,.539,46.3,70.3,6.9,11.5,,.472,9.8,16.7,.295,,8.7,76.6,.272
62,2021-04-30,MEM,,ORL,W,92,75,94.0,76.7,97.8,.162,.394,.434,50.4,73.5,10.2,13.3,,.399,7.0,25.4,.131,,17.4,77.8,.174
63,2021-05-01,MEM,@,ORL,L,111,112,111.0,112.0,100.0,.219,.302,.527,59.8,47.7,6.0,16.7,,.510,13.2,35.4,.135,,9.3,86.4,.294
64,2021-05-03,MEM,,NYK,L,104,118,110.6,125.4,94.1,.279,.477,.539,50.5,76.5,7.4,6.5,,.488,11.1,26.0,.233,,7.6,80.5,.157
65,2021-05-05,MEM,@,MIN,W,139,135,131.5,127.8,105.7,.289,.299,.636,52.9,57.7,5.7,7.3,,.608,10.6,29.3,.216,,11.9,73.9,.191
66,2021-05-06,MEM,@,DET,L,97,111,102.0,116.7,95.1,.191,.416,.503,51.9,65.8,7.4,9.1,,.483,13.5,26.1,.124,,11.0,85.7,.145
67,2021-05-08,MEM,@,TOR,W,109,99,110.5,100.3,98.7,.306,.506,.565,54.9,63.2,7.1,12.9,,.529,15.0,29.8,.224,,9.5,76.4,.181
68,2021-05-10,MEM,,NOP,W,115,110,113.2,108.2,101.6,.297,.330,.559,49.5,73.3,7.9,25.7,,.544,8.9,21.7,.176,,10.1,73.6,.144
69,2021-05-11,MEM,,DAL,W,133,104,143.6,112.3,92.6,.180,.371,.692,55.7,62.7,11.9,12.0,,.663,9.4,31.3,.169,,11.1,72.3,.205
70,2021-05-13,MEM,,SAC,W,116,110,119.3,113.1,97.2,.200,.367,.592,57.8,66.7,2.1,16.4,,.561,15.5,35.3,.167,,8.9,73.5,.094
71,2021-05-14,MEM,,SAC,W,107,106,105.6,104.7,101.3,.417,.393,.538,46.7,62.2,7.9,9.3,,.506,11.6,17.6,.262,,8.5,74.1,.229
72,2021-05-16,MEM,@,GSW,L,101,113,105.0,117.4,96.2,.207,.272,.503,45.9,62.5,12.5,11.4,,.467,10.7,26.1,.163,,17.3,69.2,.193
