G,Date,Team, ,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%, ,eFG%,TOV%_for,ORB%,FT/FGA_for, ,TOV%_against,DRB%,FT/FGA_against
1,2017-10-18,MIN,@,SAS,L,99,107,104.8,113.3,94.5,.271,.224,.520,45.7,62.2,7.4,5.9,,.482,12.0,22.4,.200,,10.2,72.1,.191
2,2017-10-20,MIN,,UTA,W,100,97,105.2,102.0,95.1,.321,.272,.541,53.7,47.2,11.6,3.6,,.488,14.0,24.4,.259,,18.4,82.9,.182
3,2017-10-22,MIN,@,OKC,W,115,113,113.7,111.8,101.1,.267,.291,.598,55.6,58.1,4.9,1.5,,.558,15.0,27.0,.221,,9.6,79.5,.104
4,2017-10-24,MIN,,IND,L,107,130,109.7,133.2,97.6,.256,.279,.559,39.1,64.3,9.2,6.5,,.541,12.8,20.9,.163,,16.1,69.2,.095
5,2017-10-25,MIN,@,DET,L,101,122,101.9,123.1,99.1,.247,.294,.536,44.0,51.4,5.0,6.9,,.488,12.9,16.7,.212,,12.3,71.4,.120
6,2017-10-27,MIN,,OKC,W,119,116,123.9,120.7,96.1,.407,.256,.587,55.7,54.8,5.2,12.1,,.535,12.9,41.5,.314,,12.6,71.1,.256
7,2017-10-30,MIN,@,MIA,W,125,122,113.4,110.7,99.8,.385,.253,.587,44.4,48.8,14.5,6.1,,.511,13.1,22.2,.352,,18.8,66.7,.183
8,2017-11-01,MIN,@,NOP,W,104,98,102.8,96.9,101.2,.289,.265,.556,55.3,48.8,12.8,5.7,,.530,18.3,27.5,.193,,16.9,80.0,.214
9,2017-11-04,MIN,,DAL,W,112,99,116.3,102.8,96.3,.253,.304,.638,60.8,76.7,7.3,15.0,,.608,17.0,29.4,.203,,14.0,84.4,.103
10,2017-11-05,MIN,,CHO,W,112,94,114.9,96.4,97.5,.361,.289,.582,57.4,52.6,4.1,6.6,,.518,14.3,28.6,.313,,10.1,80.8,.124
11,2017-11-08,MIN,@,GSW,L,101,125,94.7,117.1,106.7,.293,.261,.486,47.7,55.3,14.1,0.0,,.440,11.1,17.6,.217,,17.0,91.4,.165
12,2017-11-11,MIN,@,PHO,L,110,118,106.8,114.5,103.0,.365,.208,.494,50.5,41.0,11.6,6.7,,.427,9.0,32.8,.292,,15.7,80.0,.186
13,2017-11-13,MIN,@,UTA,W,109,98,117.7,105.9,92.6,.408,.282,.651,56.3,59.5,9.7,11.4,,.592,15.2,17.9,.352,,14.4,81.4,.119
14,2017-11-15,MIN,,SAS,W,98,86,113.7,99.8,86.2,.184,.207,.521,47.7,69.2,10.4,7.3,,.500,6.0,25.6,.126,,15.7,69.8,.165
15,2017-11-17,MIN,@,DAL,W,111,87,122.8,96.2,90.4,.274,.357,.590,53.9,69.2,7.7,0.0,,.542,9.6,26.8,.238,,10.5,77.1,.174
16,2017-11-19,MIN,,DET,L,97,100,99.2,102.3,97.8,.231,.282,.564,50.7,57.5,11.3,6.9,,.545,18.9,18.8,.154,,17.1,74.4,.169
17,2017-11-20,MIN,@,CHO,L,102,118,102.0,118.1,100.0,.289,.300,.503,42.2,35.1,8.0,10.2,,.444,9.0,19.6,.244,,14.8,71.8,.271
18,2017-11-22,MIN,,ORL,W,124,118,120.1,114.3,103.2,.517,.264,.581,48.8,55.0,8.7,5.6,,.506,6.2,21.3,.414,,12.2,82.1,.154
19,2017-11-24,MIN,,MIA,L,97,109,108.1,121.5,89.7,.310,.202,.508,51.2,56.8,10.0,7.3,,.482,9.5,28.3,.190,,13.0,77.5,.175
20,2017-11-26,MIN,,PHO,W,119,108,130.5,118.4,91.2,.183,.226,.592,56.5,49.0,13.2,8.5,,.575,9.1,42.2,.129,,14.2,72.5,.106
21,2017-11-28,MIN,,WAS,L,89,92,103.0,106.4,86.4,.165,.353,.488,52.7,77.1,3.5,1.8,,.471,9.9,27.1,.106,,7.2,80.0,.120
22,2017-11-29,MIN,@,NOP,W,120,102,127.2,108.1,94.4,.235,.284,.671,61.1,63.8,10.6,2.0,,.636,16.0,33.3,.210,,15.3,81.0,.119
23,2017-12-01,MIN,@,OKC,L,107,111,116.7,121.0,91.7,.276,.316,.628,38.2,66.7,7.6,9.4,,.592,15.8,17.1,.224,,16.9,60.6,.266
24,2017-12-03,MIN,,LAC,W,112,106,125.0,118.3,89.6,.352,.295,.551,53.2,57.9,10.0,2.6,,.477,6.4,32.6,.318,,16.2,77.8,.233
25,2017-12-04,MIN,@,MEM,L,92,95,103.4,106.8,89.0,.241,.215,.527,45.3,48.6,10.1,3.9,,.468,9.3,16.7,.228,,16.2,81.8,.292
26,2017-12-06,MIN,@,LAC,W,113,107,117.8,111.5,95.9,.256,.232,.619,51.7,64.4,4.2,10.4,,.591,14.1,23.5,.195,,7.9,69.1,.091
27,2017-12-10,MIN,,DAL,W,97,92,109.3,103.7,88.7,.319,.264,.591,57.7,52.8,7.9,4.0,,.549,18.0,25.0,.250,,10.5,85.7,.086
28,2017-12-12,MIN,,PHI,L,112,118,102.1,107.6,99.3,.250,.269,.467,49.0,43.2,12.8,13.0,,.431,7.7,27.4,.176,,20.3,82.5,.338
29,2017-12-14,MIN,,SAC,W,119,96,133.6,107.7,89.1,.244,.256,.655,48.1,63.0,13.5,16.7,,.622,9.0,22.9,.207,,13.2,67.4,.115
30,2017-12-16,MIN,,PHO,L,106,108,110.6,112.7,95.8,.253,.284,.502,37.3,52.5,14.6,16.7,,.468,5.4,20.4,.179,,20.8,61.8,.431
31,2017-12-18,MIN,,POR,W,108,107,114.2,113.2,94.6,.231,.209,.539,44.4,45.2,6.3,3.3,,.500,9.1,25.0,.187,,16.5,75.0,.060
32,2017-12-20,MIN,@,DEN,W,112,104,119.2,110.7,94.0,.218,.276,.587,46.8,65.1,12.8,4.5,,.540,7.7,19.0,.207,,20.3,78.4,.264
33,2017-12-23,MIN,@,PHO,W,115,106,119.0,109.7,96.6,.345,.190,.594,56.6,42.9,6.2,11.1,,.536,12.6,32.5,.298,,11.9,79.1,.174
34,2017-12-25,MIN,@,LAL,W,121,104,125.3,107.7,96.5,.167,.381,.671,53.2,61.2,9.3,6.5,,.649,14.3,22.6,.143,,10.6,72.9,.152
35,2017-12-27,MIN,,DEN,W,128,125,127.7,124.7,90.8,.333,.322,.620,46.7,57.4,4.0,13.5,,.589,5.5,15.9,.244,,7.9,76.1,.286
36,2017-12-28,MIN,@,MIL,L,96,102,106.4,113.0,90.3,.366,.394,.582,47.8,58.8,10.0,5.0,,.542,16.3,17.1,.268,,16.3,79.4,.200
