G,Date,Team, ,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%, ,eFG%,TOV%_for,ORB%,FT/FGA_for, ,TOV%_against,DRB%,FT/FGA_against
35,2017-01-06,MIL,,NYK,L,111,116,115.9,121.2,95.7,.359,.282,.614,46.7,61.5,9.4,18.3,,.577,13.4,17.1,.269,,12.9,72.5,.253
36,2017-01-08,MIL,,WAS,L,101,107,104.3,110.5,96.8,.250,.288,.569,39.5,67.6,14.5,5.8,,.519,15.3,12.2,.225,,17.1,67.5,.179
37,2017-01-10,MIL,@,SAS,W,109,107,120.6,118.4,90.4,.155,.226,.607,48.1,72.7,8.9,10.3,,.583,11.8,28.2,.131,,12.9,67.5,.125
38,2017-01-13,MIL,,MIA,W,116,108,128.0,119.1,90.6,.388,.188,.619,63.0,70.0,8.8,11.8,,.556,10.5,36.1,.338,,8.1,89.2,.169
39,2017-01-15,MIL,@,ATL,L,98,111,110.4,125.0,88.8,.228,.241,.564,49.3,64.1,12.4,7.4,,.532,15.5,36.1,.177,,17.8,62.2,.175
40,2017-01-16,MIL,,PHI,L,104,113,106.6,115.8,97.6,.247,.157,.527,42.7,54.8,8.2,12.2,,.500,10.8,20.8,.169,,16.1,68.3,.372
41,2017-01-18,MIL,@,HOU,L,92,111,94.9,114.5,96.9,.151,.301,.464,52.1,70.3,8.3,15.7,,.435,15.4,31.3,.118,,9.0,72.9,.116
42,2017-01-20,MIL,@,ORL,L,96,112,102.6,119.7,93.5,.313,.301,.508,43.0,61.8,6.4,5.1,,.470,11.3,20.4,.217,,8.2,68.2,.276
43,2017-01-21,MIL,@,MIA,L,97,109,107.1,120.4,90.5,.405,.228,.521,51.3,51.5,6.6,4.3,,.456,10.6,26.1,.316,,11.3,85.3,.182
44,2017-01-23,MIL,,HOU,W,127,114,123.9,111.2,102.5,.338,.288,.691,56.9,66.0,16.6,14.3,,.656,17.1,23.3,.275,,19.0,85.7,.286
45,2017-01-25,MIL,,PHI,L,109,114,109.9,115.0,99.1,.253,.308,.539,46.3,61.9,11.1,8.2,,.500,15.8,30.6,.198,,19.6,71.0,.293
46,2017-01-27,MIL,@,TOR,L,86,102,91.3,108.3,94.2,.300,.288,.475,47.8,61.3,6.4,11.9,,.431,17.3,25.5,.213,,12.9,72.1,.214
47,2017-01-28,MIL,,BOS,L,108,112,104.2,108.1,93.8,.368,.241,.534,51.6,62.2,5.8,12.5,,.477,12.9,20.5,.287,,11.3,80.9,.270
48,2017-02-01,MIL,@,UTA,L,88,104,96.3,113.8,91.4,.342,.315,.524,45.9,59.4,10.9,14.3,,.500,16.8,20.5,.205,,14.3,73.2,.269
49,2017-02-03,MIL,@,DEN,L,117,121,114.1,118.0,102.6,.277,.289,.628,44.2,57.8,8.8,21.3,,.596,16.2,16.7,.217,,11.4,64.0,.360
50,2017-02-04,MIL,@,PHO,W,137,112,132.7,108.5,103.3,.427,.207,.703,52.4,55.8,8.7,17.5,,.677,14.1,25.7,.317,,13.3,71.4,.275
51,2017-02-08,MIL,,MIA,L,88,106,97.2,117.0,90.6,.394,.211,.528,40.7,54.5,11.0,7.5,,.507,12.6,12.8,.225,,13.8,66.7,.151
