G,Date,Team, ,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%, ,eFG%,TOV%_for,ORB%,FT/FGA_for, ,TOV%_against,DRB%,FT/FGA_against
1,2017-10-17,HOU,@,GSW,W,122,121,119.6,118.6,102.0,.196,.423,.579,51.2,59.6,8.8,10.0,,.562,10.2,22.2,.134,,16.0,84.6,.238
2,2017-10-18,HOU,@,SAC,W,105,100,109.1,103.9,96.3,.349,.542,.548,51.2,57.6,7.3,4.6,,.470,12.8,26.7,.325,,15.5,78.0,.091
3,2017-10-21,HOU,,DAL,W,107,91,111.0,94.4,96.4,.268,.573,.584,56.8,43.6,12.4,7.5,,.543,12.4,19.5,.220,,13.1,85.2,.190
4,2017-10-23,HOU,,MEM,L,90,98,98.2,106.9,91.7,.299,.494,.517,50.6,78.1,5.5,4.1,,.474,15.5,20.5,.221,,12.5,90.9,.500
5,2017-10-25,HOU,@,PHI,W,105,104,107.4,106.4,97.8,.320,.520,.614,48.2,61.1,11.3,21.3,,.560,18.2,18.4,.280,,12.1,73.3,.062
6,2017-10-27,HOU,@,CHO,W,109,93,113.1,96.5,96.4,.153,.671,.601,53.7,55.3,5.2,10.2,,.576,14.2,17.5,.129,,8.2,80.0,.182
7,2017-10-28,HOU,@,MEM,L,89,103,96.3,111.5,92.4,.273,.494,.516,50.6,62.1,4.3,5.8,,.468,16.5,18.2,.221,,9.1,85.4,.106
8,2017-10-30,HOU,,PHI,L,107,115,105.5,113.4,101.4,.458,.566,.537,42.2,51.5,11.8,5.4,,.476,13.1,19.6,.337,,17.3,78.1,.213
9,2017-11-01,HOU,@,NYK,W,119,97,114.9,93.7,103.6,.239,.591,.612,52.3,50.0,5.8,6.3,,.585,12.6,20.0,.182,,16.6,86.0,.122
10,2017-11-03,HOU,@,ATL,W,119,104,118.6,103.6,100.4,.258,.528,.600,51.8,66.7,13.9,8.3,,.562,10.8,20.0,.213,,16.8,87.5,.185
11,2017-11-05,HOU,,UTA,W,137,110,133.9,107.5,102.3,.259,.481,.759,56.0,54.2,8.8,13.0,,.735,18.1,16.7,.222,,11.7,82.2,.239
12,2017-11-09,HOU,,CLE,W,117,113,120.6,116.5,97.0,.468,.597,.630,63.4,58.3,11.3,9.3,,.571,19.2,43.6,.377,,17.1,87.5,.136
13,2017-11-11,HOU,,MEM,W,111,96,112.5,97.3,98.7,.337,.542,.582,52.9,48.6,14.2,6.8,,.542,13.6,23.4,.253,,17.9,87.5,.177
14,2017-11-12,HOU,@,IND,W,118,95,120.8,97.3,97.7,.200,.522,.603,53.4,55.8,10.2,8.2,,.572,11.7,22.7,.167,,12.4,84.1,.157
15,2017-11-14,HOU,,TOR,L,113,129,112.5,128.5,100.4,.519,.494,.582,57.1,63.6,4.0,8.3,,.494,16.4,31.1,.443,,11.1,87.2,.423
16,2017-11-16,HOU,@,PHO,W,142,116,132.8,108.5,106.9,.422,.489,.665,52.0,62.8,8.4,12.2,,.594,11.6,27.9,.389,,11.0,70.9,.115
