G,Date,Team, ,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%, ,eFG%,TOV%_for,ORB%,FT/FGA_for, ,TOV%_against,DRB%,FT/FGA_against
1,2020-12-23,PHI,,WAS,W,113,107,106.9,101.2,105.7,.345,.322,.564,54.0,53.7,10.4,13.8,,.517,13.8,22.2,.264,,16.6,88.1,.188
2,2020-12-26,PHI,@,NYK,W,109,89,116.0,94.8,93.9,.250,.352,.558,52.2,48.8,9.6,11.1,,.528,10.9,28.6,.182,,14.7,72.9,.205
3,2020-12-27,PHI,@,CLE,L,94,118,93.6,117.5,100.4,.278,.468,.530,46.4,72.7,9.0,7.4,,.494,19.1,19.0,.203,,14.0,73.8,.143
4,2020-12-29,PHI,,TOR,W,100,93,96.3,89.6,103.8,.393,.369,.508,53.5,65.6,9.6,22.2,,.429,15.4,19.6,.333,,16.5,81.8,.133
5,2020-12-31,PHI,@,ORL,W,116,92,112.7,89.3,103.0,.165,.363,.594,52.9,52.3,6.8,14.9,,.566,12.5,15.6,.143,,9.5,82.5,.200
6,2021-01-02,PHI,,CHO,W,127,112,126.3,111.3,100.6,.304,.443,.709,52.9,74.5,9.9,12.3,,.696,19.0,21.2,.215,,10.4,73.1,.250
7,2021-01-04,PHI,,CHO,W,118,101,116.6,99.8,101.2,.242,.337,.561,53.9,73.9,6.9,10.6,,.542,8.7,26.4,.158,,14.3,83.7,.186
8,2021-01-06,PHI,,WAS,W,141,136,128.5,123.9,109.7,.407,.358,.738,50.0,66.0,8.2,10.5,,.728,14.3,3.7,.284,,10.6,79.1,.277
9,2021-01-07,PHI,@,BRK,L,109,122,99.4,111.3,109.6,.230,.299,.569,49.5,56.1,5.5,10.0,,.523,17.3,9.8,.207,,9.9,79.6,.196
10,2021-01-09,PHI,,DEN,L,103,115,106.4,118.8,96.8,.097,.340,.480,51.6,53.5,8.3,7.0,,.471,13.0,40.0,.058,,15.0,65.1,.144
11,2021-01-11,PHI,@,ATL,L,94,112,95.4,113.6,98.6,.141,.391,.481,46.3,54.1,2.0,21.8,,.446,8.4,17.0,.130,,6.7,74.5,.212
12,2021-01-12,PHI,,MIA,W,137,134,121.6,119.0,102.0,.245,.539,.606,53.1,64.0,8.9,12.5,,.583,13.1,33.3,.176,,13.6,72.0,.183
13,2021-01-14,PHI,,MIA,W,125,108,121.7,105.2,102.7,.293,.451,.675,46.1,61.4,14.6,6.4,,.640,16.3,13.5,.244,,17.8,76.9,.198
14,2021-01-16,PHI,@,MEM,L,104,106,100.7,102.7,103.2,.381,.298,.530,55.2,62.2,4.8,15.7,,.482,18.3,31.9,.274,,9.3,77.6,.121
15,2021-01-20,PHI,,BOS,W,117,109,120.2,112.0,97.3,.577,.346,.598,47.7,55.6,12.3,5.4,,.519,8.4,23.9,.462,,14.1,75.0,.146
16,2021-01-22,PHI,,BOS,W,122,110,125.2,112.9,97.5,.296,.346,.666,58.4,51.1,9.2,11.7,,.630,17.2,31.3,.247,,10.0,77.8,.178
17,2021-01-23,PHI,@,DET,W,114,110,111.4,107.5,102.3,.458,.277,.572,53.3,36.8,9.8,13.2,,.506,13.1,25.5,.361,,13.1,82.2,.256
18,2021-01-25,PHI,@,DET,L,104,119,111.4,127.4,93.4,.213,.298,.506,43.4,37.5,12.9,9.4,,.473,8.1,26.5,.160,,17.2,67.6,.457
19,2021-01-27,PHI,,LAL,W,107,106,108.7,107.7,98.5,.306,.294,.555,50.7,58.5,10.2,11.3,,.535,10.2,18.4,.188,,10.2,83.8,.186
20,2021-01-29,PHI,@,MIN,W,118,94,117.2,93.4,100.7,.437,.184,.569,57.3,51.3,10.9,12.2,,.494,8.8,26.1,.368,,16.7,90.7,.171
21,2021-01-31,PHI,@,IND,W,119,110,118.8,109.8,100.1,.337,.283,.563,51.8,44.4,9.0,14.3,,.533,10.2,30.4,.228,,15.4,76.9,.214
22,2021-02-03,PHI,@,CHO,W,118,111,119.1,112.0,99.1,.405,.304,.634,51.9,56.1,9.1,12.0,,.582,16.2,27.0,.329,,14.1,75.0,.218
23,2021-02-04,PHI,,POR,L,105,121,107.3,123.6,97.9,.296,.333,.573,41.1,48.7,6.1,4.5,,.525,16.4,19.0,.247,,9.2,60.4,.184
24,2021-02-06,PHI,,BRK,W,124,108,121.5,105.8,102.0,.234,.287,.598,60.0,56.3,11.8,8.5,,.564,12.6,33.3,.191,,15.1,82.6,.170
25,2021-02-09,PHI,@,SAC,W,119,111,112.4,104.8,105.9,.412,.235,.593,60.2,58.5,3.8,8.8,,.535,14.5,27.9,.329,,9.3,85.5,.111
26,2021-02-11,PHI,@,POR,L,114,118,121.4,125.7,93.9,.337,.314,.577,49.5,47.6,6.4,9.1,,.523,8.4,25.6,.279,,7.2,70.0,.226
27,2021-02-13,PHI,@,PHO,L,111,120,119.7,129.5,92.7,.452,.233,.634,52.2,50.0,7.6,1.9,,.568,12.9,22.2,.384,,13.1,87.1,.177
28,2021-02-15,PHI,@,UTA,L,123,134,121.8,132.7,101.0,.255,.245,.588,53.8,40.4,5.9,9.8,,.543,10.3,29.3,.223,,9.9,81.1,.302
29,2021-02-17,PHI,,HOU,W,118,113,111.0,106.3,106.3,.395,.321,.621,54.7,59.0,11.3,13.3,,.556,17.4,18.9,.346,,15.3,81.6,.152
30,2021-02-19,PHI,,CHI,W,112,105,115.5,108.2,97.0,.333,.241,.561,55.8,56.1,5.2,11.1,,.511,13.1,35.6,.264,,9.7,74.0,.189
31,2021-02-21,PHI,@,TOR,L,103,110,107.3,114.6,96.0,.412,.435,.513,53.6,78.8,8.3,14.9,,.453,9.1,24.4,.306,,13.6,87.2,.198
32,2021-02-23,PHI,@,TOR,W,109,102,111.9,104.7,97.4,.375,.475,.585,58.7,72.7,5.1,14.3,,.519,16.2,28.6,.325,,9.2,84.0,.118
33,2021-02-25,PHI,,DAL,W,111,97,116.2,101.5,95.6,.278,.322,.550,43.8,66.7,11.5,13.6,,.500,6.5,16.7,.233,,17.0,75.6,.256
34,2021-02-27,PHI,,CLE,L,109,112,100.4,103.2,98.3,.422,.337,.554,46.9,65.8,8.3,13.7,,.518,16.2,17.0,.277,,12.7,74.5,.227
