G,Date,Team, ,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%, ,eFG%,TOV%_for,ORB%,FT/FGA_for, ,TOV%_against,DRB%,FT/FGA_against
1,2017-10-17,GSW,,HOU,L,121,122,118.6,119.6,102.0,.263,.375,.678,48.8,79.1,4.9,16.1,,.638,16.0,15.4,.238,,10.2,77.8,.134
2,2017-10-20,GSW,@,NOP,W,128,120,119.3,111.8,107.3,.217,.446,.635,49.0,61.7,5.6,12.9,,.609,15.2,22.2,.174,,13.6,70.9,.143
3,2017-10-21,GSW,@,MEM,L,101,111,102.7,112.8,98.4,.321,.452,.527,53.5,60.6,10.2,14.0,,.464,15.1,26.1,.274,,13.0,85.0,.377
4,2017-10-23,GSW,@,DAL,W,133,103,129.4,100.2,102.8,.302,.453,.682,54.3,68.8,5.8,11.9,,.645,14.1,26.3,.256,,9.9,74.1,.188
5,2017-10-25,GSW,,TOR,W,117,112,120.6,115.4,97.0,.286,.338,.675,46.8,74.4,10.3,11.7,,.636,16.4,19.4,.247,,13.5,64.6,.191
6,2017-10-27,GSW,,WAS,W,120,117,115.4,112.5,104.0,.211,.400,.578,56.4,71.7,6.7,20.3,,.537,14.1,34.1,.189,,11.6,76.0,.165
7,2017-10-29,GSW,,DET,L,107,115,113.5,122.0,94.2,.156,.351,.650,51.9,65.9,3.2,16.7,,.636,23.3,33.3,.117,,11.5,63.8,.183
8,2017-10-30,GSW,@,LAC,W,141,113,142.3,114.1,99.1,.337,.326,.690,56.8,71.2,8.1,13.1,,.663,10.5,35.0,.258,,10.8,78.0,.291
9,2017-11-02,GSW,@,SAS,W,112,92,115.5,94.9,97.0,.193,.337,.622,47.1,69.8,11.3,19.0,,.602,13.5,13.5,.145,,14.1,72.0,.195
10,2017-11-04,GSW,@,DEN,W,127,108,122.1,103.8,104.0,.187,.440,.645,47.1,76.0,12.5,6.3,,.648,11.7,15.9,.099,,14.7,79.1,.253
11,2017-11-06,GSW,,MIA,W,97,80,98.8,81.5,98.1,.276,.368,.497,53.7,62.5,12.2,17.5,,.431,12.5,26.0,.253,,18.1,84.4,.145
12,2017-11-08,GSW,,MIN,W,125,101,117.1,94.7,106.7,.212,.424,.673,52.3,77.1,9.4,13.2,,.653,17.0,8.6,.165,,11.1,82.4,.217
13,2017-11-11,GSW,,PHI,W,135,114,125.1,105.6,107.9,.317,.329,.722,50.6,64.6,13.9,16.7,,.671,19.1,13.8,.305,,15.6,72.9,.149
