G,Date,Team, ,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%, ,eFG%,TOV%_for,ORB%,FT/FGA_for, ,TOV%_against,DRB%,FT/FGA_against
1,2020-12-22,BRK,,GSW,W,125,99,113.1,89.6,110.5,.348,.380,.589,54.8,57.1,10.0,10.6,,.538,15.9,27.7,.283,,14.2,77.2,.152
2,2020-12-25,BRK,@,BOS,W,123,95,129.2,99.8,95.2,.408,.382,.686,47.8,51.2,5.3,14.1,,.638,14.3,25.0,.342,,12.4,63.0,.133
3,2020-12-27,BRK,@,CHO,L,104,106,101.4,103.3,102.6,.305,.573,.559,46.9,65.7,3.9,8.1,,.530,17.0,13.3,.207,,10.4,75.5,.104
4,2020-12-28,BRK,,MEM,L,111,116,101.5,106.0,99.1,.170,.420,.516,47.2,68.3,11.9,8.7,,.480,13.7,24.5,.150,,14.6,69.8,.224
5,2020-12-30,BRK,,ATL,W,145,141,136.2,132.5,106.4,.230,.410,.658,42.6,55.6,5.6,5.7,,.635,6.8,19.6,.180,,9.5,64.6,.293
6,2021-01-01,BRK,,ATL,L,96,114,98.7,117.2,97.3,.267,.430,.499,48.4,54.3,6.2,11.1,,.448,13.5,20.8,.221,,8.3,77.8,.129
7,2021-01-03,BRK,,WAS,L,122,123,113.0,113.9,108.0,.383,.395,.645,51.0,62.5,4.6,12.7,,.580,17.4,16.3,.346,,5.6,77.2,.240
8,2021-01-05,BRK,,UTA,W,130,96,127.1,93.8,102.3,.172,.387,.650,55.4,59.6,10.8,9.6,,.634,10.7,20.0,.129,,13.3,82.7,.221
9,2021-01-07,BRK,,PHI,W,122,109,111.3,99.4,109.6,.299,.381,.556,50.5,68.2,10.0,11.5,,.531,9.9,20.4,.196,,17.3,90.2,.207
10,2021-01-08,BRK,@,MEM,L,110,115,106.5,111.4,103.3,.259,.383,.609,47.7,68.4,5.8,6.1,,.556,18.1,10.5,.247,,10.3,76.0,.122
11,2021-01-10,BRK,,OKC,L,116,129,111.6,124.1,103.9,.282,.400,.607,55.8,53.5,2.9,3.9,,.565,15.1,16.2,.235,,9.3,92.5,.178
12,2021-01-12,BRK,,DEN,W,122,116,127.2,121.0,95.9,.190,.405,.713,56.2,64.6,6.3,11.8,,.709,17.4,25.8,.127,,12.0,78.6,.114
13,2021-01-13,BRK,@,NYK,W,116,109,127.4,119.7,91.1,.187,.440,.589,51.7,65.9,3.3,7.8,,.571,5.7,27.9,.132,,8.5,73.9,.109
14,2021-01-16,BRK,,ORL,W,122,115,119.0,112.2,102.5,.321,.449,.685,51.9,57.1,8.8,10.2,,.641,17.6,12.1,.282,,10.5,80.4,.137
15,2021-01-18,BRK,,MIL,W,125,123,120.1,118.2,104.1,.250,.369,.670,54.4,56.5,1.9,7.5,,.637,15.4,18.9,.214,,4.1,79.2,.190
16,2021-01-20,BRK,@,CLE,L,135,147,114.9,125.1,97.3,.255,.387,.573,51.0,62.5,6.8,15.9,,.524,12.0,25.5,.226,,10.6,76.5,.138
17,2021-01-22,BRK,@,CLE,L,113,125,116.7,129.1,96.8,.195,.494,.598,36.7,54.8,5.2,12.9,,.563,10.4,14.0,.172,,10.6,63.9,.310
18,2021-01-23,BRK,,MIA,W,128,124,123.8,119.9,103.4,.313,.446,.678,60.3,77.3,0.0,14.0,,.645,14.5,23.7,.253,,7.2,95.0,.303
19,2021-01-25,BRK,,MIA,W,98,85,104.8,90.9,93.5,.259,.447,.518,52.1,70.6,6.4,12.2,,.465,6.9,14.0,.224,,11.6,84.3,.143
20,2021-01-27,BRK,@,ATL,W,132,128,133.9,129.8,89.3,.204,.327,.618,49.3,55.8,7.1,16.4,,.587,7.8,30.6,.173,,7.8,67.6,.266
21,2021-01-29,BRK,@,OKC,W,147,125,139.3,118.4,105.5,.160,.450,.687,58.1,57.9,6.6,8.3,,.665,9.3,25.0,.140,,10.6,87.0,.337
22,2021-01-31,BRK,@,WAS,L,146,149,129.6,132.2,112.7,.375,.409,.712,53.6,66.0,5.3,7.2,,.676,14.2,20.0,.307,,5.4,77.6,.231
23,2021-02-02,BRK,,LAC,W,124,120,124.1,120.1,99.9,.329,.392,.686,53.0,55.6,6.0,6.3,,.652,15.0,17.6,.266,,7.0,77.6,.152
24,2021-02-05,BRK,,TOR,L,117,123,117.8,123.8,99.4,.363,.525,.631,49.4,74.4,5.0,9.2,,.594,16.3,21.6,.275,,8.8,72.7,.124
25,2021-02-06,BRK,@,PHI,L,108,124,105.8,121.5,102.0,.193,.466,.566,40.0,53.8,5.9,4.5,,.528,15.1,17.4,.170,,12.6,66.7,.191
26,2021-02-09,BRK,@,DET,L,111,122,114.0,125.3,97.4,.186,.349,.597,47.9,69.8,8.2,10.9,,.564,13.9,21.1,.163,,12.2,78.8,.179
