G,Date,Team, ,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%, ,eFG%,TOV%_for,ORB%,FT/FGA_for, ,TOV%_against,DRB%,FT/FGA_against
35,2018-12-25,GSW,,LAL,L,101,127,97.5,122.6,103.6,.226,.387,.494,43.0,73.7,4.8,1.9,,.457,11.3,14.0,.172,,11.0,83.3,.235
36,2018-12-27,GSW,,POR,L,109,110,96.9,97.7,101.9,.142,.415,.484,52.2,80.0,8.9,13.8,,.486,11.8,24.6,.057,,10.8,80.4,.200
37,2018-12-29,GSW,@,POR,W,115,105,116.2,106.1,98.9,.350,.313,.623,47.7,67.5,9.1,6.7,,.575,11.5,12.5,.288,,11.4,77.1,.198
38,2018-12-31,GSW,@,PHO,W,132,109,128.1,105.8,103.1,.381,.333,.673,53.7,67.4,6.8,13.6,,.631,13.3,18.4,.310,,11.7,84.1,.306
39,2019-01-03,GSW,,HOU,L,134,135,123.6,124.6,98.1,.147,.363,.617,49.5,62.3,7.4,13.3,,.588,11.4,20.5,.137,,8.2,74.5,.242
40,2019-01-05,GSW,@,SAC,W,127,123,132.2,128.0,96.1,.151,.505,.640,52.2,61.7,5.2,13.1,,.618,11.6,29.3,.129,,7.2,71.4,.113
41,2019-01-08,GSW,,NYK,W,122,95,122.3,95.2,99.8,.125,.469,.602,55.7,73.5,9.0,15.6,,.583,12.9,33.3,.104,,14.1,79.1,.216
42,2019-01-11,GSW,,CHI,W,146,109,145.6,108.7,100.3,.283,.424,.706,62.8,71.7,6.0,13.8,,.674,10.4,31.4,.239,,12.3,88.4,.385
43,2019-01-13,GSW,@,DAL,W,119,114,125.6,120.3,94.8,.121,.455,.571,49.0,57.8,9.5,15.1,,.551,8.8,32.7,.101,,10.4,64.7,.242
44,2019-01-15,GSW,@,DEN,W,142,111,147.4,115.2,96.3,.105,.411,.714,58.1,66.7,6.2,6.9,,.711,9.1,30.8,.074,,7.5,80.9,.141
45,2019-01-16,GSW,,NOP,W,147,140,129.2,123.0,113.8,.304,.480,.636,53.8,67.3,7.0,8.2,,.598,8.0,19.2,.245,,8.2,87.0,.276
46,2019-01-18,GSW,@,LAC,W,112,94,108.1,90.7,103.6,.314,.430,.572,45.3,73.8,10.6,13.3,,.541,9.3,7.0,.221,,15.2,76.9,.329
47,2019-01-21,GSW,@,LAL,W,130,111,125.2,106.9,103.9,.194,.378,.611,54.3,82.0,7.7,9.4,,.592,8.6,27.1,.143,,12.2,84.1,.262
48,2019-01-24,GSW,@,WAS,W,126,118,122.4,114.6,102.9,.239,.227,.648,58.1,68.0,4.9,11.3,,.608,13.4,22.9,.216,,8.8,82.4,.158
49,2019-01-26,GSW,@,BOS,W,115,111,114.3,110.3,100.6,.410,.398,.587,52.0,67.6,8.0,11.9,,.518,12.5,24.4,.349,,11.7,73.7,.141
50,2019-01-28,GSW,@,IND,W,132,100,131.2,99.4,100.6,.163,.316,.628,55.8,73.6,8.9,10.9,,.607,10.3,31.7,.133,,13.2,77.8,.085
51,2019-01-31,GSW,,PHI,L,104,113,105.6,114.8,98.5,.182,.432,.547,43.0,73.2,13.2,13.7,,.528,13.6,21.4,.125,,16.2,63.6,.216
52,2019-02-02,GSW,,LAL,W,115,101,113.3,99.5,101.5,.209,.374,.579,47.3,72.1,3.9,13.0,,.533,9.1,16.3,.198,,12.7,74.0,.104
53,2019-02-06,GSW,,SAS,W,141,102,139.5,100.9,101.1,.221,.358,.676,63.4,76.4,13.9,10.2,,.663,9.5,35.0,.158,,16.6,90.5,.247
