G,Date,Team, ,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%, ,eFG%,TOV%_for,ORB%,FT/FGA_for, ,TOV%_against,DRB%,FT/FGA_against
1,2021-10-20,BOS,@,NYK,L,134,138,106.8,110.0,103.9,.197,.487,.527,50.5,70.8,10.4,15.0,,.500,12.4,23.8,.145,,12.7,85.4,.181
2,2021-10-22,BOS,,TOR,L,83,115,85.0,117.8,97.6,.134,.415,.478,41.2,59.4,6.1,18.5,,.457,22.4,20.4,.098,,9.1,60.4,.210
3,2021-10-24,BOS,@,HOU,W,107,97,110.0,99.7,97.3,.233,.547,.564,51.8,57.9,10.3,14.0,,.529,10.4,14.6,.186,,17.4,88.1,.253
4,2021-10-25,BOS,@,CHO,W,140,129,125.2,115.3,101.3,.248,.495,.625,50.5,66.0,7.2,15.3,,.589,9.7,22.4,.208,,10.8,75.0,.175
5,2021-10-27,BOS,,WAS,L,107,116,109.2,118.4,98.0,.329,.341,.550,44.0,48.6,9.2,8.5,,.494,11.8,21.7,.271,,13.4,71.1,.250
6,2021-10-30,BOS,@,WAS,L,112,115,95.1,97.7,97.4,.234,.243,.475,46.6,52.3,6.8,14.7,,.421,8.5,13.8,.206,,9.8,79.3,.279
7,2021-11-01,BOS,,CHI,L,114,128,117.1,131.5,97.4,.208,.344,.544,43.2,47.6,10.3,1.8,,.516,7.9,24.5,.156,,13.0,71.4,.198
8,2021-11-03,BOS,@,ORL,W,92,79,98.6,84.7,93.3,.316,.468,.511,52.1,72.7,7.5,22.0,,.481,10.9,19.1,.203,,13.1,83.7,.190
9,2021-11-04,BOS,@,MIA,W,95,78,105.3,86.5,90.2,.256,.526,.547,50.5,51.6,7.8,10.0,,.500,15.6,25.6,.218,,16.8,72.9,.160
10,2021-11-06,BOS,@,DAL,L,104,107,112.5,115.7,92.4,.186,.360,.559,47.4,47.6,6.5,5.1,,.541,10.6,19.5,.128,,15.1,80.0,.154
