G,Date,Team, ,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%, ,eFG%,TOV%_for,ORB%,FT/FGA_for, ,TOV%_against,DRB%,FT/FGA_against
35,2017-12-26,ORL,@,MIA,L,89,107,93.3,112.1,95.4,.272,.247,.491,44.2,42.4,8.4,8.6,,.438,15.8,21.3,.222,,13.2,66.7,.154
36,2017-12-28,ORL,,DET,W,102,89,105.5,92.0,96.7,.207,.317,.570,53.9,59.5,10.3,4.7,,.518,16.7,22.0,.207,,13.9,81.3,.115
37,2017-12-30,ORL,,MIA,L,111,117,123.4,130.1,89.9,.185,.333,.634,48.1,70.5,2.2,14.1,,.617,12.0,23.7,.136,,7.7,71.8,.170
38,2018-01-01,ORL,@,BRK,L,95,98,99.8,102.9,95.2,.260,.323,.444,50.0,45.7,5.3,8.8,,.396,10.1,31.1,.198,,12.4,76.7,.207
39,2018-01-03,ORL,,HOU,L,98,116,95.4,113.0,102.7,.275,.341,.480,48.5,45.7,6.8,5.5,,.418,10.5,17.6,.242,,13.2,81.3,.191
40,2018-01-06,ORL,,CLE,L,127,131,116.7,120.4,108.8,.224,.378,.590,50.5,59.2,4.6,3.3,,.571,15.0,31.1,.153,,13.6,69.6,.234
41,2018-01-09,ORL,@,DAL,L,99,114,109.4,126.0,90.5,.278,.367,.558,51.9,75.0,2.2,7.0,,.525,12.8,21.4,.203,,4.1,86.5,.229
42,2018-01-10,ORL,@,MIL,L,103,110,108.7,116.1,94.8,.200,.322,.526,42.0,66.7,6.3,6.3,,.478,7.6,18.2,.189,,13.1,70.3,.195
43,2018-01-12,ORL,@,WAS,L,119,125,123.0,129.2,96.8,.388,.363,.635,49.4,78.0,7.2,3.8,,.588,13.8,30.8,.313,,9.6,66.7,.137
44,2018-01-16,ORL,,MIN,W,108,102,114.1,107.8,94.6,.211,.344,.549,58.0,60.0,4.2,12.2,,.506,14.0,36.6,.189,,6.4,76.6,.092
