G,Date,Team, ,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%, ,eFG%,TOV%_for,ORB%,FT/FGA_for, ,TOV%_against,DRB%,FT/FGA_against
35,2018-12-25,NYK,,MIL,L,95,109,91.8,105.4,103.4,.216,.299,.447,52.8,48.6,3.9,5.3,,.402,11.6,25.0,.175,,7.1,87.5,.258
36,2018-12-27,NYK,@,MIL,L,96,112,93.9,109.5,102.3,.165,.320,.461,43.0,58.3,7.8,9.8,,.438,8.8,17.9,.113,,12.8,75.0,.183
37,2018-12-29,NYK,@,UTA,L,97,129,96.7,128.6,100.3,.256,.372,.507,36.8,53.1,10.0,1.8,,.459,13.6,15.1,.209,,14.6,64.3,.118
38,2019-01-01,NYK,@,DEN,L,108,115,116.9,124.4,92.4,.194,.290,.535,44.8,66.7,4.3,4.9,,.511,7.3,28.8,.140,,7.1,63.6,.158
39,2019-01-04,NYK,@,LAL,W,119,112,110.6,104.1,107.6,.414,.374,.508,50.5,54.1,11.2,6.6,,.429,4.9,23.2,.343,,13.0,78.2,.153
40,2019-01-07,NYK,@,POR,L,101,111,104.2,114.5,96.9,.303,.258,.501,48.5,50.0,9.3,3.7,,.444,9.8,26.4,.247,,12.5,73.9,.235
41,2019-01-08,NYK,@,GSW,L,95,122,95.2,122.3,99.8,.239,.273,.488,44.3,37.1,11.0,2.0,,.432,14.1,20.9,.216,,12.9,66.7,.104
42,2019-01-11,NYK,,IND,L,106,121,106.0,121.0,100.0,.182,.443,.558,44.0,56.4,8.0,7.4,,.523,14.4,18.2,.159,,12.4,72.5,.117
43,2019-01-13,NYK,,PHI,L,105,108,104.8,107.8,100.2,.349,.360,.529,37.8,64.9,8.0,7.5,,.488,9.2,13.7,.244,,13.8,69.2,.253
44,2019-01-17,NYK,@,WAS,L,100,101,102.5,103.5,97.5,.138,.333,.542,45.2,38.5,6.2,4.6,,.517,13.2,14.3,.115,,11.4,70.6,.152
45,2019-01-21,NYK,,OKC,L,109,127,108.6,126.6,100.3,.368,.264,.539,42.4,64.1,8.0,5.6,,.489,10.6,22.0,.276,,15.9,71.4,.265
46,2019-01-23,NYK,,HOU,L,110,114,110.0,114.0,100.0,.370,.370,.584,52.2,40.5,5.0,15.2,,.525,16.0,25.6,.309,,10.1,71.7,.322
47,2019-01-25,NYK,@,BRK,L,99,109,99.4,109.5,99.6,.299,.356,.503,35.5,45.9,12.1,21.6,,.471,7.5,12.5,.195,,15.4,60.0,.381
48,2019-01-27,NYK,,MIA,L,97,106,100.5,109.8,96.6,.286,.310,.513,44.7,61.1,13.5,5.9,,.470,10.4,15.2,.214,,14.0,79.5,.190
49,2019-01-28,NYK,@,CHO,L,92,101,97.2,106.7,94.7,.306,.271,.477,47.4,55.9,6.3,10.0,,.441,7.7,17.4,.200,,9.0,74.5,.128
50,2019-01-30,NYK,,DAL,L,90,114,92.7,117.4,97.1,.359,.333,.498,41.0,50.0,10.3,10.9,,.449,11.7,10.6,.256,,16.8,80.6,.107
51,2019-02-01,NYK,,BOS,L,99,113,100.9,115.1,98.1,.140,.360,.542,52.7,53.8,2.0,3.2,,.506,15.7,20.0,.140,,6.3,78.4,.080
52,2019-02-03,NYK,,MEM,L,84,96,91.0,104.0,92.3,.297,.541,.502,47.9,71.4,4.3,9.2,,.459,15.2,13.3,.216,,6.6,79.6,.143
53,2019-02-05,NYK,,DET,L,92,105,101.3,115.6,90.8,.167,.367,.476,51.8,47.2,5.5,8.9,,.450,10.2,27.1,.122,,9.1,83.8,.241
54,2019-02-08,NYK,@,DET,L,103,120,106.3,123.8,96.9,.526,.282,.536,45.9,62.9,6.2,8.9,,.494,11.9,22.2,.333,,10.8,72.5,.267
55,2019-02-09,NYK,,TOR,L,99,104,100.3,105.4,98.7,.202,.266,.484,54.8,56.4,9.1,7.8,,.468,12.0,28.8,.117,,10.8,80.8,.279
56,2019-02-11,NYK,@,CLE,L,104,107,103.9,106.9,100.1,.217,.283,.516,45.1,50.0,8.0,17.6,,.495,9.0,20.4,.141,,14.8,67.9,.179
57,2019-02-13,NYK,,PHI,L,111,126,105.7,120.0,105.0,.270,.290,.496,47.8,67.5,7.6,7.3,,.445,9.7,25.5,.220,,13.4,82.9,.436
58,2019-02-14,NYK,@,ATL,W,106,91,109.3,93.8,97.0,.310,.369,.555,55.9,55.3,9.3,17.0,,.524,12.8,26.2,.214,,10.8,80.4,.165
59,2019-02-22,NYK,,MIN,L,104,115,98.5,108.9,105.6,.279,.337,.539,52.8,40.5,8.5,12.7,,.494,17.2,18.6,.221,,11.4,84.8,.253
60,2019-02-24,NYK,,SAS,W,130,118,132.1,119.9,98.4,.194,.378,.611,49.5,50.0,3.0,10.0,,.592,5.3,25.0,.143,,6.1,72.5,.298
61,2019-02-26,NYK,,ORL,W,108,103,110.1,105.0,98.1,.360,.270,.524,52.0,44.7,11.2,12.3,,.466,8.8,28.6,.281,,14.1,75.5,.157
62,2019-02-28,NYK,,CLE,L,118,125,123.0,130.3,95.9,.242,.337,.561,50.0,56.5,4.2,6.5,,.542,7.1,30.4,.158,,10.3,76.5,.363
63,2019-03-03,NYK,@,LAC,L,107,128,99.4,118.9,107.7,.386,.330,.520,46.5,65.7,8.4,14.3,,.460,11.2,17.0,.295,,13.2,80.4,.133
64,2019-03-04,NYK,@,SAC,L,108,115,105.1,111.9,102.8,.329,.341,.555,52.7,43.6,7.8,9.3,,.529,14.9,21.3,.212,,11.8,86.4,.313
65,2019-03-06,NYK,@,PHO,L,96,107,97.8,109.0,98.1,.325,.195,.545,59.7,48.6,6.1,13.5,,.494,19.3,22.9,.260,,12.5,90.5,.210
66,2019-03-09,NYK,,SAC,L,94,102,96.5,104.7,97.4,.223,.372,.455,52.3,45.7,3.1,8.5,,.426,8.0,23.6,.149,,6.3,80.4,.189
67,2019-03-10,NYK,@,MIN,L,92,103,94.8,106.1,97.0,.163,.291,.499,51.8,54.1,5.2,12.5,,.488,15.6,24.4,.093,,9.9,78.6,.106
68,2019-03-12,NYK,@,IND,L,98,103,100.5,105.6,97.5,.225,.350,.557,53.3,62.9,4.1,8.8,,.519,17.8,19.0,.188,,9.3,83.3,.247
