G,Date,Team, ,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%, ,eFG%,TOV%_for,ORB%,FT/FGA_for, ,TOV%_against,DRB%,FT/FGA_against
1,2020-12-23,MIL,@,BOS,L,121,122,121.1,122.1,99.9,.200,.389,.618,58.4,41.3,4.0,9.8,,.589,14.0,28.9,.167,,5.4,80.4,.079
2,2020-12-25,MIL,,GSW,W,138,99,128.4,92.1,107.5,.289,.400,.680,58.3,50.0,5.6,7.4,,.667,14.4,25.0,.200,,9.1,83.1,.212
3,2020-12-27,MIL,@,NYK,L,110,130,109.5,129.4,100.5,.305,.400,.510,48.9,58.5,7.0,8.6,,.468,9.3,30.9,.221,,13.4,77.1,.259
4,2020-12-29,MIL,@,MIA,W,144,97,139.3,93.8,103.4,.163,.554,.730,60.0,62.7,13.5,4.8,,.712,14.7,27.0,.141,,19.5,92.1,.152
5,2020-12-30,MIL,@,MIA,L,108,119,104.6,115.2,103.3,.127,.402,.501,47.5,65.0,13.6,14.0,,.471,10.8,27.6,.118,,18.8,75.6,.293
6,2021-01-01,MIL,,CHI,W,126,96,116.5,88.7,108.2,.353,.529,.642,51.2,64.3,14.8,9.8,,.624,14.8,12.2,.235,,17.3,86.7,.161
7,2021-01-04,MIL,,DET,W,125,115,121.7,112.0,102.7,.188,.400,.679,61.3,65.3,5.8,6.9,,.659,17.1,21.9,.153,,7.2,87.5,.122
8,2021-01-06,MIL,,DET,W,130,115,128.1,113.4,101.5,.233,.478,.655,50.0,71.4,4.9,7.1,,.650,12.4,22.0,.144,,7.6,71.7,.268
9,2021-01-08,MIL,,UTA,L,118,131,113.0,125.5,104.4,.214,.429,.550,47.4,40.9,4.8,11.4,,.515,10.1,18.4,.173,,8.9,78.3,.082
10,2021-01-09,MIL,,CLE,W,100,90,107.5,96.7,93.1,.214,.429,.544,48.9,67.6,11.8,6.6,,.512,14.0,25.0,.167,,13.8,70.8,.126
11,2021-01-11,MIL,@,ORL,W,121,99,123.3,100.9,98.1,.220,.385,.606,49.4,54.3,15.3,11.7,,.577,12.3,27.5,.176,,15.7,68.1,.110
12,2021-01-13,MIL,@,DET,W,110,101,112.6,103.4,97.7,.165,.506,.603,50.5,75.6,10.2,15.8,,.594,13.3,22.7,.106,,13.6,74.5,.163
