G,Date,Team, ,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%, ,eFG%,TOV%_for,ORB%,FT/FGA_for, ,TOV%_against,DRB%,FT/FGA_against
1,2018-10-17,PHO,,DAL,W,121,100,130.6,108.0,92.6,.198,.420,.687,53.7,79.5,5.4,3.6,,.660,11.1,17.6,.173,,8.5,79.2,.159
2,2018-10-20,PHO,@,DEN,L,91,119,88.8,116.2,102.4,.455,.506,.492,42.6,69.0,5.9,7.0,,.448,17.1,18.2,.286,,15.5,76.9,.282
3,2018-10-22,PHO,@,GSW,L,103,123,100.4,119.9,102.6,.209,.395,.548,52.9,61.5,7.8,2.0,,.506,18.3,26.7,.186,,12.3,82.5,.216
4,2018-10-24,PHO,,LAL,L,113,131,109.2,126.6,103.5,.250,.369,.606,50.6,61.4,3.9,5.6,,.583,16.9,22.0,.179,,6.8,76.1,.170
5,2018-10-27,PHO,@,MEM,L,96,117,98.2,119.7,97.8,.244,.423,.556,47.3,77.8,5.1,1.9,,.519,18.0,12.2,.192,,11.9,90.9,.253
6,2018-10-28,PHO,@,OKC,L,110,117,103.9,110.5,105.9,.314,.314,.562,50.6,55.3,9.4,4.9,,.488,18.4,22.7,.302,,13.0,79.1,.282
7,2018-10-31,PHO,,SAS,L,90,120,88.2,117.6,102.0,.200,.267,.460,42.7,60.0,9.8,4.6,,.422,13.3,14.6,.156,,12.9,82.4,.289
8,2018-11-02,PHO,,TOR,L,98,107,100.5,109.7,97.5,.198,.286,.495,55.7,50.0,3.1,8.3,,.484,13.2,26.7,.110,,12.6,86.0,.160
9,2018-11-04,PHO,,MEM,W,102,100,111.3,109.2,91.6,.406,.500,.676,55.2,75.8,7.6,5.7,,.625,24.1,19.2,.344,,12.8,78.0,.276
10,2018-11-06,PHO,,BRK,L,82,104,84.3,106.9,97.3,.247,.309,.457,48.5,57.1,4.1,5.4,,.401,18.2,18.8,.210,,9.1,75.5,.141
11,2018-11-08,PHO,,BOS,L,109,116,100.6,107.1,98.1,.204,.376,.538,42.9,61.0,9.2,10.0,,.500,12.9,9.3,.172,,12.6,69.1,.247
12,2018-11-10,PHO,@,NOP,L,99,119,101.7,122.2,97.4,.233,.419,.522,40.7,45.7,10.3,11.5,,.465,12.9,20.8,.221,,15.4,62.8,.279
13,2018-11-12,PHO,@,OKC,L,101,118,105.1,122.8,96.1,.235,.321,.565,46.8,64.1,5.2,7.7,,.525,16.8,25.0,.198,,11.4,69.2,.207
14,2018-11-14,PHO,,SAS,W,116,96,119.8,99.2,96.8,.095,.369,.663,46.9,57.4,9.3,6.7,,.649,15.5,14.3,.083,,16.1,71.7,.229
15,2018-11-17,PHO,,OKC,L,100,110,100.8,110.9,99.2,.256,.354,.548,37.3,67.6,14.1,9.8,,.524,13.3,9.5,.171,,15.4,65.9,.318
16,2018-11-19,PHO,@,PHI,L,114,119,109.1,113.9,104.5,.276,.379,.584,36.9,56.8,8.6,6.5,,.580,11.8,11.1,.149,,15.6,66.7,.369
17,2018-11-21,PHO,@,CHI,L,116,124,110.3,117.9,105.2,.102,.347,.566,48.0,58.3,8.6,8.9,,.541,11.3,14.6,.102,,15.7,88.2,.259
18,2018-11-23,PHO,@,MIL,W,116,114,111.7,109.8,103.9,.244,.289,.582,48.2,46.7,7.7,9.3,,.550,9.9,14.3,.189,,12.3,82.9,.230
19,2018-11-25,PHO,@,DET,L,107,118,109.4,120.6,97.8,.256,.305,.586,50.6,52.4,6.1,11.5,,.561,15.7,26.3,.183,,10.3,71.1,.172
20,2018-11-27,PHO,,IND,L,104,109,110.2,115.5,94.4,.196,.326,.520,45.0,48.8,8.5,9.4,,.500,7.4,24.0,.130,,10.5,66.0,.244
21,2018-11-28,PHO,@,LAC,L,99,115,97.1,112.8,102.0,.202,.292,.511,37.8,51.3,16.7,9.2,,.483,14.2,15.6,.146,,17.3,60.0,.279
22,2018-11-30,PHO,,ORL,L,85,99,93.1,108.4,91.3,.167,.333,.471,47.6,64.7,5.5,0.0,,.446,11.7,20.0,.119,,11.8,79.5,.159
23,2018-12-02,PHO,@,LAL,L,96,120,90.5,113.1,106.1,.118,.355,.491,41.7,64.9,11.3,12.3,,.468,13.3,13.5,.097,,15.7,75.0,.185
24,2018-12-04,PHO,,SAC,L,105,122,104.1,120.9,100.9,.241,.494,.546,50.6,71.1,8.9,6.7,,.506,17.9,28.3,.195,,11.7,76.9,.250
25,2018-12-06,PHO,@,POR,L,86,108,86.4,108.6,99.5,.154,.297,.443,42.3,57.1,11.1,3.4,,.412,14.1,20.4,.121,,14.9,69.8,.200
26,2018-12-07,PHO,,MIA,L,98,115,98.3,115.4,99.7,.203,.430,.570,51.2,75.0,7.0,8.2,,.544,18.9,10.5,.152,,11.3,86.4,.186
27,2018-12-10,PHO,,LAC,L,119,123,113.1,116.9,95.3,.213,.266,.579,48.8,66.0,13.3,12.5,,.548,12.7,23.8,.170,,15.3,75.0,.306
28,2018-12-11,PHO,@,SAS,L,86,111,89.5,115.6,96.0,.171,.341,.488,46.5,57.6,7.3,8.1,,.451,16.2,17.4,.146,,14.1,80.0,.193
29,2018-12-13,PHO,,DAL,W,99,89,101.1,90.9,97.9,.196,.293,.495,43.0,54.1,15.3,11.1,,.457,11.5,23.5,.163,,19.9,66.7,.282
30,2018-12-15,PHO,,MIN,W,107,99,106.8,98.8,100.2,.222,.311,.541,55.4,73.2,6.0,11.5,,.506,13.2,26.8,.178,,9.5,78.4,.146
31,2018-12-17,PHO,@,NYK,W,128,110,122.8,105.6,104.2,.293,.293,.616,46.8,56.3,7.7,7.8,,.571,6.3,10.5,.250,,9.0,71.4,.212
32,2018-12-19,PHO,@,BOS,W,111,103,115.1,106.8,96.4,.229,.281,.525,60.2,56.1,8.3,13.0,,.484,13.9,42.9,.188,,14.9,79.5,.141
33,2018-12-22,PHO,@,WAS,L,146,149,120.2,122.6,92.6,.287,.304,.564,48.5,54.5,11.5,9.3,,.526,9.8,34.5,.217,,15.2,64.6,.216
34,2018-12-23,PHO,@,BRK,L,103,111,104.7,112.9,98.3,.180,.191,.536,45.6,55.8,10.2,8.6,,.500,11.1,22.2,.157,,14.6,68.9,.247
35,2018-12-26,PHO,@,ORL,W,122,120,114.6,112.8,96.4,.179,.253,.595,51.7,45.8,8.5,15.0,,.574,14.9,26.2,.137,,12.4,75.6,.188
36,2018-12-28,PHO,,OKC,L,102,118,98.3,113.7,103.7,.178,.322,.526,41.0,56.4,11.6,9.3,,.483,14.9,15.6,.167,,13.7,71.1,.095
37,2018-12-29,PHO,,DEN,L,118,122,121.8,125.9,96.9,.154,.319,.607,48.1,59.2,15.5,12.2,,.599,11.8,28.6,.099,,19.4,71.4,.263
38,2018-12-31,PHO,,GSW,L,109,132,105.8,128.1,103.1,.353,.306,.555,46.3,54.1,6.8,5.4,,.488,11.7,15.9,.306,,13.3,81.6,.310
39,2019-01-02,PHO,,PHI,L,127,132,119.2,123.9,106.6,.379,.358,.573,45.7,51.2,9.4,6.0,,.511,11.9,26.5,.316,,14.8,75.0,.554
40,2019-01-04,PHO,,LAC,L,111,121,115.0,125.4,96.5,.351,.247,.624,36.8,58.5,13.5,15.0,,.591,16.1,20.6,.260,,16.9,52.9,.298
41,2019-01-06,PHO,,CHO,L,113,119,109.9,115.8,102.8,.229,.301,.618,43.9,53.5,7.8,6.1,,.578,13.3,8.6,.205,,12.4,70.2,.264
42,2019-01-08,PHO,,SAC,W,115,111,110.9,107.1,103.7,.216,.284,.597,46.3,68.9,17.4,13.7,,.568,16.5,22.5,.170,,21.2,70.0,.250
43,2019-01-09,PHO,@,DAL,L,94,104,95.6,105.8,98.3,.250,.298,.504,46.8,61.1,10.2,22.2,,.470,13.9,17.1,.179,,17.5,78.9,.457
44,2019-01-12,PHO,,DEN,W,102,93,106.6,97.2,95.6,.272,.283,.495,49.5,76.3,11.5,15.8,,.457,8.0,27.5,.196,,13.3,72.9,.170
45,2019-01-15,PHO,@,IND,L,97,131,89.1,120.4,108.8,.189,.284,.471,45.3,65.0,7.4,9.4,,.463,15.6,18.9,.095,,11.8,78.6,.303
46,2019-01-17,PHO,@,TOR,L,109,111,110.7,112.7,98.5,.429,.357,.546,54.1,50.0,9.1,13.8,,.482,13.8,33.3,.333,,12.6,77.5,.209
47,2019-01-19,PHO,@,CHO,L,115,135,117.3,137.7,98.0,.379,.379,.566,32.9,53.8,7.1,13.0,,.511,6.5,15.2,.299,,13.8,57.6,.261
48,2019-01-20,PHO,@,MIN,L,114,116,109.1,111.0,104.5,.372,.453,.570,45.8,55.0,8.6,7.5,,.535,13.0,21.4,.256,,12.1,70.7,.352
49,2019-01-22,PHO,,MIN,L,91,118,90.5,117.4,100.5,.207,.391,.479,34.7,62.2,6.0,14.8,,.466,12.0,10.2,.115,,11.2,59.2,.126
50,2019-01-24,PHO,,POR,L,106,120,103.2,116.9,102.7,.307,.432,.531,42.4,52.8,8.8,5.9,,.483,13.8,18.8,.239,,13.5,68.2,.213
51,2019-01-25,PHO,@,DEN,L,95,132,94.8,131.7,100.2,.342,.395,.543,38.0,62.5,4.0,12.1,,.467,14.6,4.7,.316,,10.1,67.3,.245
52,2019-01-27,PHO,@,LAL,L,102,116,107.2,121.9,95.2,.376,.306,.515,49.4,55.9,8.4,13.6,,.441,13.9,35.7,.318,,14.2,64.1,.135
53,2019-01-29,PHO,@,SAS,L,124,126,121.4,123.4,102.1,.238,.363,.702,51.4,54.2,7.8,7.6,,.681,16.9,12.0,.188,,9.2,71.4,.170
54,2019-02-02,PHO,,ATL,L,112,118,110.0,115.9,101.8,.188,.333,.539,41.1,68.9,14.7,9.6,,.531,8.8,21.3,.104,,20.1,62.8,.214
55,2019-02-04,PHO,,HOU,L,110,118,113.4,121.6,97.0,.214,.298,.598,46.9,64.4,9.3,2.2,,.577,15.6,22.5,.155,,10.9,70.7,.218
56,2019-02-06,PHO,@,UTA,L,88,116,91.0,120.0,96.7,.253,.227,.528,45.6,65.7,8.3,3.6,,.487,20.9,18.4,.200,,11.7,70.7,.250
57,2019-02-08,PHO,,GSW,L,107,117,104.1,113.9,102.7,.297,.307,.468,49.5,59.0,11.7,1.9,,.416,8.8,32.2,.228,,15.7,76.3,.309
58,2019-02-10,PHO,@,SAC,L,104,117,100.6,113.2,103.4,.330,.297,.499,52.4,57.9,4.8,7.5,,.451,14.0,28.3,.242,,10.4,78.0,.381
59,2019-02-13,PHO,@,LAC,L,107,134,105.5,132.2,101.4,.291,.349,.552,45.6,60.0,5.9,6.5,,.512,14.2,18.2,.221,,10.2,80.0,.274
