G,Date,Team, ,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%, ,eFG%,TOV%_for,ORB%,FT/FGA_for, ,TOV%_against,DRB%,FT/FGA_against
1,2020-12-23,MIA,@,ORL,L,107,113,102.0,107.7,104.9,.229,.241,.586,51.2,59.5,10.5,3.3,,.548,19.4,18.9,.193,,14.4,76.6,.216
2,2020-12-25,MIA,,NOP,W,111,98,114.7,101.3,96.8,.307,.493,.652,46.1,76.3,11.4,4.7,,.613,16.6,11.8,.253,,17.0,73.8,.333
3,2020-12-29,MIA,,MIL,L,97,144,93.8,139.3,103.4,.228,.468,.558,40.0,62.2,8.7,14.6,,.538,19.5,7.9,.152,,14.7,73.0,.141
4,2020-12-30,MIA,,MIL,W,119,108,115.2,104.6,103.3,.354,.476,.628,52.5,62.5,4.8,8.2,,.579,18.8,24.4,.293,,10.8,72.4,.118
5,2021-01-01,MIA,@,DAL,L,83,93,85.1,95.4,97.5,.321,.423,.466,45.6,69.0,10.3,4.9,,.417,13.6,10.0,.231,,15.4,90.0,.218
6,2021-01-04,MIA,,OKC,W,118,90,120.2,91.7,98.1,.222,.420,.664,55.3,73.9,7.1,0.0,,.667,13.6,11.1,.123,,14.2,87.8,.241
7,2021-01-06,MIA,,BOS,L,105,107,113.8,115.9,92.3,.321,.444,.568,44.2,74.3,2.2,10.9,,.512,8.0,14.0,.272,,6.3,69.2,.111
8,2021-01-09,MIA,@,WAS,W,128,124,118.2,114.5,108.3,.280,.462,.613,61.0,69.6,2.8,8.5,,.581,13.3,23.8,.215,,5.1,87.9,.212
9,2021-01-12,MIA,@,PHI,L,134,137,119.0,121.6,102.0,.231,.538,.585,46.9,56.3,5.3,8.5,,.553,13.6,28.0,.183,,13.1,66.7,.176
10,2021-01-14,MIA,@,PHI,L,108,125,105.2,121.7,102.7,.321,.420,.584,53.9,70.0,3.9,2.2,,.568,17.8,23.1,.198,,16.3,86.5,.244
11,2021-01-16,MIA,,DET,L,100,120,105.9,127.0,94.5,.403,.433,.634,44.3,78.1,1.1,11.1,,.567,21.8,14.7,.358,,10.1,72.2,.110
12,2021-01-18,MIA,,DET,W,113,107,118.7,112.4,95.2,.253,.400,.678,52.9,53.5,8.4,13.3,,.653,17.8,18.5,.200,,14.7,75.6,.220
13,2021-01-20,MIA,@,TOR,W,111,102,117.5,108.0,94.5,.213,.500,.634,52.9,74.4,4.2,12.8,,.600,17.1,21.6,.188,,11.1,76.0,.182
14,2021-01-22,MIA,@,TOR,L,81,101,85.7,106.8,94.5,.130,.403,.498,41.6,57.6,13.8,9.1,,.474,18.9,10.8,.104,,19.3,70.0,.071
15,2021-01-23,MIA,@,BRK,L,124,128,119.9,123.8,103.4,.360,.517,.601,39.7,69.0,6.8,2.2,,.545,7.2,5.0,.303,,14.5,76.3,.253
16,2021-01-25,MIA,@,BRK,L,85,98,90.9,104.8,93.5,.202,.512,.465,47.9,64.5,3.2,14.9,,.435,11.6,15.7,.143,,6.9,86.0,.224
17,2021-01-27,MIA,,DEN,L,82,109,87.4,116.1,93.9,.138,.563,.483,43.7,80.0,6.4,6.1,,.456,15.9,14.0,.113,,11.8,72.7,.120
18,2021-01-28,MIA,,LAC,L,105,109,108.2,112.3,97.0,.167,.367,.543,45.0,60.0,5.2,2.2,,.517,11.9,16.0,.133,,11.0,74.0,.230
