G,Date,Team, ,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%, ,eFG%,TOV%_for,ORB%,FT/FGA_for, ,TOV%_against,DRB%,FT/FGA_against
1,2020-12-23,BOS,,MIL,W,122,121,122.1,121.1,99.9,.109,.396,.576,41.6,47.9,8.0,10.9,,.564,5.4,19.6,.079,,14.0,71.1,.167
2,2020-12-25,BOS,,BRK,L,95,123,99.8,129.2,95.2,.194,.276,.447,52.2,62.2,6.3,10.6,,.418,12.4,37.0,.133,,14.3,75.0,.342
3,2020-12-27,BOS,@,IND,L,107,108,106.6,107.6,100.3,.304,.291,.597,51.9,52.5,13.0,11.3,,.563,16.7,17.1,.228,,14.5,81.0,.125
4,2020-12-29,BOS,@,IND,W,116,111,118.1,113.0,98.3,.463,.275,.602,54.4,52.5,10.2,5.9,,.556,12.7,27.3,.338,,13.3,88.6,.155
5,2020-12-30,BOS,,MEM,W,126,107,120.2,102.1,104.8,.154,.429,.648,47.7,55.1,16.2,18.3,,.626,14.1,23.8,.132,,17.5,69.6,.194
6,2021-01-01,BOS,@,DET,L,93,96,92.4,95.4,100.7,.169,.373,.522,47.8,51.3,11.9,20.4,,.518,17.6,16.3,.084,,16.4,75.5,.148
7,2021-01-03,BOS,@,DET,W,122,120,128.0,125.9,95.3,.149,.379,.658,55.4,71.4,4.2,10.0,,.649,15.5,32.4,.103,,8.5,78.4,.256
8,2021-01-04,BOS,@,TOR,W,126,114,120.3,108.9,104.7,.405,.345,.637,60.2,46.3,2.9,17.0,,.577,16.1,29.3,.345,,8.6,84.6,.322
9,2021-01-06,BOS,@,MIA,W,107,105,115.9,113.8,92.3,.121,.354,.513,55.8,52.4,7.6,11.1,,.485,6.3,30.8,.111,,8.0,86.0,.272
10,2021-01-08,BOS,,WAS,W,116,107,110.5,101.9,105.0,.349,.372,.585,56.3,51.2,10.5,6.8,,.547,17.5,26.2,.256,,15.2,84.4,.159
11,2021-01-15,BOS,,ORL,W,124,97,127.0,99.3,97.6,.216,.477,.643,49.5,55.6,7.2,6.1,,.608,9.4,16.2,.193,,9.6,72.2,.149
