G,Date,Team, ,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%, ,eFG%,TOV%_for,ORB%,FT/FGA_for, ,TOV%_against,DRB%,FT/FGA_against
1,2016-10-26,PHI,,OKC,L,97,103,96.7,102.6,100.3,.298,.286,.511,44.8,58.3,5.0,13.9,,.470,12.0,11.1,.214,,8.7,74.5,.202
2,2016-10-29,PHI,,ATL,L,72,104,71.8,103.7,100.3,.188,.225,.416,45.3,57.1,9.0,7.7,,.381,18.8,8.9,.138,,11.2,85.4,.176
3,2016-11-01,PHI,,ORL,L,101,103,106.7,108.9,94.6,.198,.247,.574,51.9,70.0,5.3,11.8,,.549,14.6,20.6,.148,,9.1,74.5,.140
4,2016-11-02,PHI,@,CHO,L,93,109,96.4,113.0,96.5,.174,.442,.502,45.7,67.6,8.3,4.4,,.465,15.5,18.6,.151,,14.2,76.3,.228
5,2016-11-05,PHI,,CLE,L,101,102,98.7,99.7,102.3,.138,.437,.547,47.9,52.5,8.8,17.0,,.540,15.6,11.6,.080,,13.9,78.4,.154
6,2016-11-07,PHI,,UTA,L,84,109,90.2,117.0,93.1,.286,.273,.485,48.3,51.6,5.4,3.0,,.448,17.2,20.5,.195,,9.6,76.7,.141
7,2016-11-09,PHI,@,IND,L,115,122,107.2,113.7,97.1,.200,.379,.556,50.0,50.0,10.3,8.5,,.558,14.1,21.7,.095,,13.9,82.5,.167
8,2016-11-11,PHI,,IND,W,109,105,104.4,100.6,94.5,.360,.372,.547,57.4,66.7,6.7,8.7,,.483,16.0,26.5,.302,,11.7,91.1,.250
9,2016-11-12,PHI,@,ATL,L,96,117,96.6,117.7,99.4,.241,.349,.523,42.9,58.3,14.1,6.3,,.500,17.1,21.3,.157,,13.7,65.9,.084
10,2016-11-14,PHI,@,HOU,L,88,115,91.0,118.9,96.7,.189,.244,.451,41.5,52.9,10.3,13.7,,.406,11.0,20.4,.167,,14.7,64.4,.110
11,2016-11-16,PHI,,WAS,W,109,102,111.2,104.1,98.0,.286,.364,.629,50.6,71.4,6.1,1.5,,.610,16.4,14.7,.195,,9.7,76.6,.198
12,2016-11-17,PHI,@,MIN,L,86,110,95.4,122.1,90.1,.229,.386,.471,45.5,48.4,10.0,3.4,,.428,14.1,27.7,.181,,12.3,65.9,.214
13,2016-11-19,PHI,,PHO,W,120,105,113.2,99.0,106.0,.233,.407,.633,50.0,73.3,10.4,12.7,,.622,16.0,15.8,.151,,12.3,76.0,.228
14,2016-11-21,PHI,,MIA,W,101,94,111.5,103.8,90.6,.256,.333,.582,44.4,56.8,8.8,8.8,,.545,13.9,19.4,.205,,11.5,61.1,.216
15,2016-11-23,PHI,,MEM,L,99,104,85.9,90.3,95.4,.247,.387,.480,54.9,68.6,7.8,14.3,,.441,20.1,17.8,.183,,12.0,84.2,.182
16,2016-11-25,PHI,,CHI,L,89,105,89.8,105.9,99.1,.282,.282,.508,48.5,58.1,7.1,11.6,,.455,17.8,16.7,.231,,10.6,78.4,.211
17,2016-11-27,PHI,,CLE,L,108,112,111.8,115.9,96.6,.109,.370,.560,52.1,67.4,5.2,9.6,,.549,14.2,28.9,.076,,7.9,72.5,.261
18,2016-11-28,PHI,@,TOR,L,95,122,103.4,132.7,91.9,.151,.395,.518,47.5,75.0,9.8,6.9,,.500,13.2,26.1,.105,,11.7,76.5,.325
19,2016-12-02,PHI,,ORL,L,88,105,96.6,115.3,91.1,.105,.337,.443,49.5,66.7,3.3,11.5,,.426,9.1,27.3,.074,,10.1,81.6,.231
20,2016-12-03,PHI,,BOS,L,106,107,115.7,116.8,91.6,.342,.434,.606,50.7,57.1,5.5,6.0,,.559,14.6,20.5,.276,,10.1,83.3,.303
21,2016-12-05,PHI,,DEN,L,98,106,99.8,107.9,98.2,.267,.360,.510,49.4,57.1,12.2,20.4,,.471,15.0,25.5,.198,,17.3,76.2,.342
22,2016-12-06,PHI,@,MEM,L,91,96,92.1,97.2,98.8,.317,.500,.487,45.9,65.6,5.1,10.1,,.476,14.6,18.0,.159,,11.4,75.0,.326
23,2016-12-08,PHI,@,NOP,W,99,88,107.1,95.2,92.5,.143,.440,.512,49.5,69.2,8.7,13.6,,.495,9.4,23.4,.099,,11.4,76.1,.179
24,2016-12-11,PHI,@,DET,W,97,79,107.5,87.5,90.2,.250,.250,.643,55.3,63.2,12.2,6.3,,.610,20.9,17.2,.206,,14.5,78.7,.122
25,2016-12-14,PHI,,TOR,L,114,123,122.1,131.8,93.3,.291,.337,.588,52.4,67.4,5.4,6.9,,.552,12.6,36.8,.221,,8.0,65.9,.356
26,2016-12-16,PHI,,LAL,L,89,100,91.1,102.3,97.7,.273,.352,.452,51.1,68.8,7.2,8.2,,.398,14.7,29.6,.216,,18.4,80.0,.241
27,2016-12-18,PHI,,BRK,W,108,107,107.4,106.4,100.6,.261,.318,.550,52.2,60.5,5.0,10.6,,.500,14.8,26.5,.227,,14.5,82.9,.284
28,2016-12-20,PHI,,NOP,L,93,108,96.0,111.4,96.9,.256,.402,.510,43.4,54.5,6.2,10.5,,.470,12.5,13.0,.195,,9.5,69.8,.194
29,2016-12-23,PHI,@,PHO,L,116,123,115.0,121.9,100.9,.265,.373,.626,39.4,54.8,6.9,11.3,,.584,17.0,20.0,.229,,17.3,64.5,.342
30,2016-12-26,PHI,@,SAC,L,100,102,101.1,103.1,98.9,.228,.316,.575,47.5,51.3,13.1,8.1,,.551,20.2,21.6,.165,,16.5,69.8,.195
31,2016-12-29,PHI,@,UTA,L,83,100,93.2,112.3,89.1,.092,.276,.458,48.8,45.7,6.7,2.1,,.437,14.2,27.7,.080,,14.1,75.7,.205
32,2016-12-30,PHI,@,DEN,W,124,122,127.1,125.1,97.6,.460,.379,.593,49.4,65.8,5.1,8.8,,.529,9.5,30.6,.368,,8.9,72.5,.393
33,2017-01-03,PHI,,MIN,W,93,91,95.8,93.7,97.1,.294,.376,.484,50.5,57.6,10.3,12.1,,.429,14.3,24.0,.235,,15.8,80.0,.220
34,2017-01-06,PHI,@,BOS,L,106,110,106.3,110.3,99.7,.329,.354,.586,49.4,81.1,9.0,23.4,,.525,14.2,11.8,.291,,14.8,75.5,.241
35,2017-01-08,PHI,@,BRK,W,105,95,99.1,89.7,105.9,.287,.287,.496,53.5,51.4,10.4,9.8,,.436,10.9,14.3,.245,,20.5,90.9,.167
36,2017-01-11,PHI,,NYK,W,98,97,104.3,103.3,93.9,.221,.295,.470,54.0,73.0,7.5,1.6,,.426,11.8,36.0,.179,,12.6,78.4,.105
37,2017-01-13,PHI,,CHO,W,102,93,109.4,99.8,93.2,.263,.500,.601,48.1,72.2,12.9,14.5,,.566,19.1,28.6,.211,,16.1,63.6,.365
38,2017-01-14,PHI,@,WAS,L,93,109,96.9,113.5,96.0,.241,.356,.483,49.5,55.6,6.2,2.7,,.471,14.3,28.3,.126,,10.0,73.9,.143
39,2017-01-16,PHI,@,MIL,W,113,104,115.8,106.6,97.6,.462,.474,.602,57.3,71.4,8.2,12.0,,.538,16.1,31.7,.372,,10.8,79.2,.169
40,2017-01-18,PHI,,TOR,W,94,89,99.1,93.8,94.9,.464,.348,.566,51.7,64.5,5.3,11.3,,.507,20.9,13.9,.348,,8.6,77.4,.174
41,2017-01-20,PHI,,POR,W,93,92,92.9,91.9,100.1,.174,.315,.470,53.5,69.4,6.0,11.4,,.457,16.1,27.7,.098,,11.4,76.9,.225
42,2017-01-21,PHI,@,ATL,L,93,110,93.0,110.0,100.0,.231,.372,.541,45.3,81.8,8.0,8.5,,.500,20.4,16.3,.192,,11.4,74.4,.143
