G,Date,Team, ,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%, ,eFG%,TOV%_for,ORB%,FT/FGA_for, ,TOV%_against,DRB%,FT/FGA_against
1,2017-10-18,SAS,,MIN,W,107,99,113.3,104.8,94.5,.213,.236,.550,54.3,53.7,8.5,16.7,,.506,10.2,27.9,.191,,12.0,77.6,.200
2,2017-10-21,SAS,@,CHI,W,87,77,91.5,80.9,95.1,.172,.129,.435,52.0,65.8,8.4,5.6,,.414,9.9,25.9,.108,,18.1,82.6,.085
3,2017-10-23,SAS,,TOR,W,101,97,102.8,98.8,98.2,.256,.222,.504,61.8,47.5,4.1,27.9,,.472,16.7,38.3,.178,,13.4,88.1,.238
4,2017-10-25,SAS,@,MIA,W,117,100,126.8,108.4,92.3,.395,.224,.656,57.9,42.9,6.5,5.6,,.618,12.7,22.2,.303,,9.3,90.0,.213
5,2017-10-27,SAS,@,ORL,L,87,114,87.8,115.1,99.1,.303,.270,.431,52.1,63.3,8.1,13.1,,.360,14.4,30.4,.258,,15.9,84.2,.083
6,2017-10-29,SAS,@,IND,L,94,97,96.2,99.3,97.7,.200,.311,.480,50.0,52.8,12.3,14.5,,.450,13.3,24.0,.144,,18.1,84.2,.195
7,2017-10-30,SAS,@,BOS,L,94,108,102.5,117.8,91.7,.230,.299,.491,42.6,66.7,8.7,7.0,,.483,10.3,23.5,.115,,12.0,65.1,.148
8,2017-11-02,SAS,,GSW,L,92,112,94.9,115.5,97.0,.264,.276,.474,52.9,55.9,6.2,14.5,,.431,14.1,28.0,.195,,13.5,86.5,.145
9,2017-11-03,SAS,,CHO,W,108,101,109.1,102.0,99.0,.313,.325,.572,49.5,79.5,7.1,10.7,,.524,13.7,16.7,.253,,10.9,77.6,.338
10,2017-11-05,SAS,,PHO,W,112,95,116.8,99.1,95.9,.205,.250,.584,48.9,47.7,9.4,6.9,,.563,8.6,19.0,.148,,16.6,76.1,.160
11,2017-11-07,SAS,,LAC,W,120,107,127.9,114.0,93.8,.226,.333,.650,50.0,73.3,13.9,5.8,,.625,12.3,27.5,.179,,16.0,73.7,.146
12,2017-11-10,SAS,,MIL,L,87,94,92.7,100.2,93.8,.138,.363,.513,47.8,67.6,8.5,8.5,,.481,17.5,20.0,.125,,12.0,75.6,.079
13,2017-11-11,SAS,,CHI,W,133,94,137.7,97.3,96.6,.188,.318,.723,61.1,64.7,5.2,9.5,,.706,12.4,25.8,.153,,12.4,87.8,.093
14,2017-11-14,SAS,@,DAL,W,97,91,101.9,95.6,95.2,.342,.329,.534,54.0,51.4,9.5,14.9,,.481,11.7,18.6,.266,,14.4,88.6,.185
15,2017-11-15,SAS,@,MIN,L,86,98,99.8,113.7,86.2,.190,.304,.502,52.3,60.6,4.6,5.8,,.462,15.7,30.2,.165,,6.0,74.4,.126
16,2017-11-17,SAS,,OKC,W,104,101,117.3,113.9,88.7,.364,.455,.582,51.8,67.6,6.8,10.6,,.532,12.7,30.0,.286,,7.5,71.1,.157
17,2017-11-20,SAS,,ATL,W,96,85,103.4,91.5,92.8,.067,.348,.524,57.8,72.5,7.5,9.1,,.506,16.4,32.6,.067,,14.5,80.9,.035
18,2017-11-22,SAS,@,NOP,L,90,107,91.6,108.9,98.2,.170,.273,.476,46.4,62.9,10.2,8.8,,.432,13.7,17.4,.159,,14.1,81.6,.272
19,2017-11-25,SAS,@,CHO,W,106,86,114.7,93.1,92.4,.309,.309,.576,51.7,56.4,8.7,11.9,,.519,10.7,22.2,.272,,12.8,72.5,.238
20,2017-11-27,SAS,,DAL,W,115,108,118.2,111.0,97.3,.256,.293,.630,51.8,62.8,7.2,9.4,,.585,9.9,10.0,.232,,10.6,90.7,.141
21,2017-11-29,SAS,,MEM,W,104,95,119.8,109.4,86.8,.320,.267,.608,46.4,57.9,10.4,9.1,,.560,8.6,16.1,.267,,16.8,71.1,.182
