G,Date,Team, ,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%, ,eFG%,TOV%_for,ORB%,FT/FGA_for, ,TOV%_against,DRB%,FT/FGA_against
35,2021-03-03,CHO,@,MIN,W,135,102,124.1,93.8,108.8,.214,.398,.629,54.5,64.7,12.9,12.5,,.607,13.7,28.3,.163,,15.5,77.4,.156
36,2021-03-11,CHO,,DET,W,105,102,112.3,109.1,93.5,.267,.333,.522,47.4,72.2,9.6,7.7,,.456,8.2,23.5,.256,,13.3,75.0,.129
37,2021-03-13,CHO,,TOR,W,114,104,107.8,98.3,105.8,.235,.605,.638,52.0,76.9,9.5,12.0,,.611,23.2,19.0,.185,,13.3,76.8,.156
38,2021-03-15,CHO,,SAC,W,122,116,121.8,115.9,100.1,.266,.319,.581,51.1,66.7,7.0,5.5,,.543,7.1,20.0,.213,,9.7,90.0,.128
39,2021-03-17,CHO,@,DEN,L,104,129,103.1,127.8,100.9,.350,.475,.563,40.7,69.4,10.9,2.2,,.525,15.6,14.9,.250,,13.5,76.5,.100
40,2021-03-18,CHO,@,LAL,L,105,116,104.5,115.4,100.5,.241,.349,.572,47.8,63.4,7.0,15.1,,.560,17.1,17.8,.145,,9.8,76.6,.163
41,2021-03-20,CHO,@,LAC,L,98,125,106.9,136.4,91.7,.350,.513,.531,48.1,80.6,5.5,7.7,,.481,13.2,28.3,.263,,8.6,74.3,.267
42,2021-03-22,CHO,@,SAS,W,100,97,107.9,104.7,92.6,.284,.395,.549,51.3,79.4,5.4,15.2,,.494,10.8,17.5,.247,,14.1,86.8,.179
43,2021-03-24,CHO,@,HOU,W,122,97,133.1,105.8,91.7,.363,.475,.658,56.2,65.9,4.4,8.1,,.625,12.3,25.6,.275,,5.9,80.0,.174
44,2021-03-26,CHO,,MIA,W,110,105,115.5,110.3,95.2,.241,.544,.630,51.9,76.9,6.3,15.9,,.608,15.5,16.7,.177,,9.5,80.0,.115
45,2021-03-28,CHO,,PHO,L,97,101,101.1,105.2,86.9,.271,.506,.510,51.0,47.1,8.3,5.4,,.476,17.4,35.6,.188,,11.4,63.2,.260
46,2021-03-30,CHO,@,WAS,W,114,104,112.1,102.3,101.7,.211,.378,.580,49.5,57.1,5.9,9.5,,.544,12.5,20.0,.178,,10.9,73.2,.120
47,2021-04-01,CHO,@,BRK,L,89,111,96.0,119.7,92.7,.221,.442,.472,43.4,73.3,11.9,10.9,,.424,10.4,20.4,.186,,13.9,71.1,.033
48,2021-04-02,CHO,@,IND,W,114,97,111.8,95.2,101.9,.305,.326,.529,47.8,62.8,15.7,6.1,,.495,8.5,22.0,.211,,18.1,78.6,.134
49,2021-04-04,CHO,@,BOS,L,86,116,94.9,128.0,90.6,.250,.388,.484,48.8,71.9,3.3,12.5,,.463,16.1,23.1,.150,,5.7,70.2,.096
